date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_radius_nm_ne,34kt_wind_radius_nm_se,34kt_wind_radius_nm_nw,34kt_wind_radius_nm_sw,50kt_wind_radius_nm_ne,50kt_wind_radius_nm_se,50kt_wind_radius_nm_nw,50kt_wind_radius_nm_sw,64kt_wind_radius_nm_ne,64kt_wind_radius_nm_se,64kt_wind_radius_nm_nw,64kt_wind_radius_nm_sw,max_wind_radius_nm
19990919, 0600,  , TD, 25.0N,  87.8W,  30, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19990919, 1200,  , TD, 25.5N,  87.8W,  30, 1004, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19990919, 1800,  , TD, 26.0N,  87.8W,  30, 1003, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19990920, 0000,  , TS, 26.3N,  87.4W,  40, 1002, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19990920, 0600,  , TS, 26.6N,  86.9W,  40, 1001, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19990920, 1200,  , TS, 27.0N,  86.3W,  40,  998, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19990920, 1800,  , TS, 27.0N,  85.5W,  50,  998, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19990921, 0000,  , TS, 27.1N,  84.6W,  50,  995, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19990921, 0600,  , TS, 26.5N,  83.9W,  50,  995, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19990921, 0800, I, TS, 26.3N,  83.7W,  50,  994, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19990921, 1200,  , TS, 26.0N,  82.8W,  50,  996, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19990921, 1700, L, TS, 25.9N,  81.7W,  50,  999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19990921, 1800,  , TS, 25.9N,  81.5W,  50,  999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19990922, 0000,  , TS, 26.9N,  78.6W,  40, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
