date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19820602,1200,,TD,21.7N,87.1W,20,1005
19820602,1800,,TD,22.2N,86.5W,25,1004
19820603,0000,,TD,22.6N,85.8W,30,1003
19820603,0600,,TS,22.8N,85.0W,40,1001
19820603,1200,,TS,23.2N,84.2W,50,995
19820603,1800,,HU,24.0N,83.6W,75,985
19820604,0000,,HU,24.8N,83.4W,65,992
19820604,0600,,TS,24.9N,84.1W,55,998
19820604,1200,,TS,24.9N,84.8W,45,1002
19820604,1800,,TS,25.0N,84.2W,40,1005
19820605,0000,,TD,25.1N,84.1W,30,1007
19820605,0600,,TD,25.2N,84.0W,25,1008
19820605,1200,,TD,25.3N,83.9W,25,1009
19820605,1800,,TD,25.4N,83.6W,25,1010
19820606,0000,,TD,25.5N,83.3W,25,1010
19820606,0600,,TD,25.5N,83.0W,25,1010
19820606,1200,,TD,25.5N,82.6W,20,1010
