date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19840908,1200,,TS,28.5N,77.4W,35,1008
19840908,1800,,TS,28.6N,78.3W,40,1006
19840909,0000,,TS,28.5N,79.2W,45,1004
19840909,0600,,TS,28.6N,79.7W,50,1002
19840909,1200,,TS,29.0N,79.9W,55,1000
19840909,1800,,TS,29.4N,80.1W,60,995
19840910,0000,,TS,29.7N,80.4W,60,994
19840910,0600,,TS,30.1N,80.3W,60,995
19840910,1200,,HU,30.5N,80.0W,65,991
19840910,1800,,HU,30.8N,79.6W,70,986
19840911,0000,,HU,31.3N,79.1W,80,980
19840911,0600,,HU,31.8N,78.7W,85,973
19840911,1200,,HU,32.6N,78.4W,100,960
19840911,1800,,HU,33.4N,78.0W,110,952
19840912,0000,,HU,33.9N,77.7W,115,949
19840912,0600,,HU,34.0N,77.4W,95,963
19840912,1200,,HU,34.0N,77.2W,95,967
19840912,1800,,HU,33.9N,77.1W,90,970
19840913,0000,,HU,33.8N,77.4W,85,972
19840913,0600,,HU,33.9N,77.9W,80,978
19840913,0700,L,HU,33.9N,78.0W,80,979
19840913,1200,,HU,34.0N,78.3W,65,990
19840913,1800,,TS,34.3N,78.5W,55,999
19840914,0000,,TS,34.6N,78.5W,45,1003
19840914,0600,,TS,35.0N,78.0W,40,1005
19840914,1200,,TS,35.3N,77.1W,45,1003
19840914,1800,,TS,35.6N,76.0W,50,1000
19840915,0000,,TS,36.2N,74.4W,55,997
19840915,0600,,TS,37.2N,72.7W,60,994
19840915,1200,,TS,38.5N,70.3W,60,992
19840915,1800,,TS,41.0N,66.0W,60,992
19840916,0000,,TS,43.5N,61.9W,60,994
19840916,0600,,EX,46.0N,57.8W,60,995
