date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19850809,1800,,SD,31.5N,80.5W,25,1013
19850810,0000,,SD,32.0N,79.0W,25,1012
19850810,0600,,SD,32.5N,77.5W,25,1011
19850810,1200,,SD,33.0N,76.5W,30,1009
19850810,1800,,SD,33.5N,75.3W,30,1007
19850811,0000,,TS,34.0N,74.0W,35,1005
19850811,0600,,TS,34.3N,72.7W,35,1004
19850811,1200,,TS,34.5N,71.5W,35,1003
19850811,1800,,TS,34.7N,70.3W,40,1002
19850812,0000,,TS,34.8N,69.1W,40,1001
19850812,0600,,TS,34.7N,67.7W,45,1000
19850812,1200,,TS,34.5N,66.4W,45,999
19850812,1800,,TS,34.4N,64.9W,50,997
19850813,0000,,TS,34.5N,63.2W,50,995
19850813,0600,,TS,35.1N,61.5W,55,993
19850813,1200,,TS,35.5N,59.5W,55,991
19850813,1800,,TS,35.3N,57.5W,60,989
19850814,0000,,TS,35.1N,55.0W,60,988
19850814,0600,,HU,35.2N,52.5W,65,988
19850814,1200,,HU,35.3N,50.1W,65,987
19850814,1800,,HU,35.5N,47.8W,65,986
19850815,0000,,HU,35.6N,45.2W,70,985
19850815,0600,,HU,35.7N,42.6W,70,981
19850815,1200,,HU,35.8N,40.0W,75,980
19850815,1800,,HU,36.4N,37.0W,75,981
19850816,0000,,TS,37.5N,34.5W,60,993
19850816,0600,,TS,39.2N,31.6W,45,998
19850816,1200,,TS,40.7N,28.7W,40,1001
19850816,1800,,TS,42.6N,25.7W,40,1003
19850817,0000,,EX,44.5N,22.5W,40,1005
