date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19851026,0000,,TD,24.5N,90.5W,30,1005
19851026,0600,,TD,24.2N,91.5W,30,1002
19851026,1200,,TS,23.8N,92.5W,35,999
19851026,1800,,TS,24.4N,92.8W,40,996
19851027,0000,,TS,24.6N,92.0W,45,993
19851027,0600,,TS,25.3N,92.2W,50,990
19851027,1200,,TS,25.7N,91.5W,55,986
19851027,1800,,TS,26.4N,91.1W,60,984
19851028,0000,,HU,27.8N,91.2W,65,982
19851028,0600,,HU,28.6N,91.5W,70,975
19851028,1200,,HU,29.4N,92.0W,75,972
19851028,1800,,HU,29.3N,93.0W,75,971
19851029,0000,,HU,28.9N,92.5W,75,973
19851029,0600,,HU,29.0N,91.9W,70,975
19851029,1100,L,HU,29.5N,91.4W,65,974
19851029,1200,,HU,29.6N,91.3W,65,974
19851029,1800,,TS,30.3N,91.9W,60,978
19851030,0000,,TS,30.1N,92.3W,60,980
19851030,0600,,TS,29.8N,92.2W,55,982
19851030,1200,,TS,29.6N,92.1W,55,982
19851030,1800,,TS,29.3N,91.8W,55,982
19851031,0000,,TS,29.1N,91.3W,55,982
19851031,0600,,TS,28.9N,90.3W,55,980
19851031,1200,,TS,29.3N,89.1W,60,978
19851031,1800,,TS,30.3N,87.7W,55,982
19851101,0000,,TS,31.8N,87.0W,40,984
19851101,0600,,TS,33.5N,86.7W,35,986
19851101,1200,,EX,35.2N,86.6W,30,989
19851101,1800,,EX,36.8N,87.1W,25,992
