date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19881010,1800,,TD,8.9N,42.2W,25,1010
19881011,0000,,TD,9.5N,43.6W,30,1008
19881011,0600,,TS,10.1N,45.0W,35,1005
19881011,1200,,TS,10.7N,46.4W,40,1003
19881011,1800,,TS,11.2N,47.9W,45,1000
19881012,0000,,TS,11.5N,49.0W,50,999
19881012,0600,,TS,11.8N,50.1W,45,1000
19881012,1200,,TS,12.1N,51.3W,45,1003
19881012,1800,,TS,12.3N,52.5W,40,1006
19881013,0000,,TS,12.4N,53.8W,40,1007
19881013,0600,,TS,12.5N,54.9W,40,1007
19881013,1200,,TS,12.6N,56.0W,40,1006
19881013,1800,,TS,12.7N,57.1W,40,1005
19881014,0000,,TS,12.6N,58.3W,40,1003
19881014,0600,,TS,12.4N,59.4W,40,1002
19881014,1200,,TS,12.2N,60.0W,45,1001
19881014,1800,,TS,12.0N,60.8W,45,1001
19881015,0000,,TS,12.1N,61.5W,45,1003
19881015,0100,L,TS,12.1N,61.8W,45,1003
19881015,0600,,TS,12.1N,62.8W,45,1004
19881015,1200,,TS,12.0N,63.8W,45,1004
19881015,1800,,TS,11.9N,64.9W,45,1003
19881016,0000,,TS,12.0N,66.1W,45,1002
19881016,0600,,TS,12.0N,67.2W,50,1001
19881016,1200,,TS,11.9N,68.2W,50,1000
19881016,1800,,TS,12.0N,69.2W,50,999
19881017,0000,,TS,12.0N,70.2W,55,998
19881017,0600,L,TS,12.0N,71.2W,55,997
19881017,1200,,TS,11.9N,72.1W,60,995
19881017,1800,,TS,11.8N,73.0W,60,993
19881018,0000,,HU,11.8N,74.0W,65,990
19881018,0600,,HU,11.7N,75.0W,70,987
19881018,1200,,HU,11.5N,75.8W,75,984
19881018,1800,,HU,11.3N,76.5W,80,980
19881019,0000,,HU,11.2N,77.2W,90,976
19881019,0600,,HU,11.3N,77.8W,95,970
19881019,1200,,HU,11.4N,78.3W,105,960
19881019,1800,,HU,11.3N,78.9W,110,953
19881020,0000,,HU,11.3N,79.3W,105,956
19881020,0600,,HU,11.1N,79.8W,85,967
19881020,1200,,HU,11.1N,79.5W,70,971
19881020,1800,,HU,11.3N,79.9W,70,973
19881021,0000,,HU,11.5N,80.3W,75,972
19881021,0600,,HU,11.5N,80.7W,90,970
19881021,1200,,HU,11.6N,81.2W,100,964
19881021,1800,,HU,11.8N,81.8W,110,952
19881022,0000,,HU,11.9N,82.5W,120,937
19881022,0600,,HU,11.9N,83.2W,125,932
19881022,1000,L,HU,11.9N,83.7W,125,932
19881022,1200,,HU,11.9N,83.9W,120,936
19881022,1800,,HU,12.0N,85.0W,70,983
19881023,0000,,TS,12.1N,85.9W,55,993
19881023,0600,,TS,12.2N,86.8W,45,1000
