date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19930814,1200,,TD,14.1N,59.5W,30,1012
19930814,1800,L,TS,14.5N,60.9W,35,1012
19930815,0000,,TS,14.9N,62.2W,35,1011
19930815,0600,,TS,15.2N,63.5W,35,1011
19930815,1200,,TS,15.4N,64.8W,35,1013
19930815,1800,,TS,15.8N,66.0W,35,1012
19930816,0000,,TS,16.4N,66.9W,35,1010
19930816,0600,,TS,17.0N,68.0W,35,1008
19930816,1200,,TS,17.3N,69.3W,40,1007
19930816,1800,,TS,17.9N,70.6W,35,1008
19930816,2100,L,TD,18.3N,71.0W,30,1009
19930817,0000,,TD,18.8N,71.3W,30,1010
