date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19930918,1800,,TD,26.7N,61.8W,30,1014
19930919,0000,,TD,27.3N,62.0W,30,1013
19930919,0600,,TD,27.9N,62.0W,30,1012
19930919,1200,,TD,28.5N,61.7W,30,1010
19930919,1800,,TD,29.3N,61.1W,30,1009
19930920,0000,,TD,30.2N,60.2W,30,1008
19930920,0600,,TS,31.5N,59.0W,35,1005
19930920,1200,,TS,33.3N,57.4W,50,998
19930920,1800,,HU,35.6N,55.2W,65,990
19930921,0000,,TS,37.8N,52.5W,60,992
19930921,0600,,TS,39.8N,49.4W,55,994
19930921,1200,,TS,42.5N,46.5W,50,997
19930921,1800,,EX,46.0N,42.0W,50,999
