date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
20011011,0600,,EX,27.5N,63.0W,30,1009
20011011,1200,,EX,29.8N,62.5W,35,1003
20011011,1800,,EX,30.8N,63.5W,45,998
20011012,0000,,SS,31.8N,64.7W,60,991
20011012,0600,,SS,32.2N,65.8W,60,988
20011012,1200,,SS,32.8N,65.8W,60,988
20011012,1800,,SS,33.5N,66.3W,60,988
20011013,0000,,SS,34.2N,66.1W,60,988
20011013,0600,,TS,34.9N,65.3W,60,988
20011013,1200,,TS,36.2N,64.8W,60,986
20011013,1800,,HU,37.3N,64.6W,65,985
20011014,0000,,HU,37.9N,64.0W,65,985
20011014,0600,,HU,38.6N,63.7W,70,982
20011014,1200,,TS,39.3N,63.9W,60,988
20011014,1800,,TS,40.1N,64.1W,55,992
20011015,0000,,TS,40.9N,64.4W,50,995
20011015,0600,,TS,42.3N,65.0W,45,997
20011015,1200,L,TS,44.2N,64.8W,40,998
20011015,1800,,EX,48.0N,62.0W,40,1002
