date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_radius_nm_ne,34kt_wind_radius_nm_se,34kt_wind_radius_nm_nw,34kt_wind_radius_nm_sw,50kt_wind_radius_nm_ne,50kt_wind_radius_nm_se,50kt_wind_radius_nm_nw,50kt_wind_radius_nm_sw,64kt_wind_radius_nm_ne,64kt_wind_radius_nm_se,64kt_wind_radius_nm_nw,64kt_wind_radius_nm_sw,max_wind_radius_nm
20100928, 0000,  , LO, 19.4N,  84.1W,  25, 1003,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20100928, 0600,  , LO, 19.8N,  83.5W,  30, 1003,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20100928, 1200,  , TS, 20.4N,  83.0W,  35, 1001,    0,  300,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20100928, 1800,  , TS, 21.0N,  82.7W,  40,  999,    0,  300,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20100929, 0000,  , TS, 21.4N,  82.2W,  35,  997,    0,  300,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20100929, 0600,  , TS, 21.7N,  81.6W,  35,  996,    0,  300,  300,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20100929, 1200,  , TS, 21.9N,  81.0W,  40,  995,    0,  300,  300,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20100929, 1500, S, LO, 22.2N,  80.5W,  40,  995,    0,  300,  300,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20100929, 1800,  , LO, 23.3N,  80.1W,  40,  994,  120,  300,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20100930, 0000,  , LO, 24.7N,  79.6W,  40,  994,  120,  300,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20100930, 0600,  , EX, 26.1N,  79.0W,  40,  995,  180,  300,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20100930, 1200,  , EX, 27.4N,  78.5W,  40,  996,  180,  300,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
