date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_radius_nm_ne,34kt_wind_radius_nm_se,34kt_wind_radius_nm_nw,34kt_wind_radius_nm_sw,50kt_wind_radius_nm_ne,50kt_wind_radius_nm_se,50kt_wind_radius_nm_nw,50kt_wind_radius_nm_sw,64kt_wind_radius_nm_ne,64kt_wind_radius_nm_se,64kt_wind_radius_nm_nw,64kt_wind_radius_nm_sw,max_wind_radius_nm
20220923, 0600,  , LO, 16.6N,  19.4W,  30, 1005,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   60
20220923, 1200,  , TD, 17.4N,  19.9W,  30, 1004,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   50
20220923, 1800,  , TS, 18.1N,  20.3W,  35, 1003,   40,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   40
20220924, 0000,  , TS, 18.7N,  20.7W,  35, 1003,   40,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   40
20220924, 0600,  , TS, 19.4N,  20.9W,  35, 1004,   40,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   40
20220924, 1200,  , TD, 20.3N,  20.9W,  30, 1005,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   50
20220924, 1800,  , TD, 21.4N,  20.7W,  30, 1006,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   60
20220925, 0000,  , LO, 22.4N,  20.5W,  30, 1006,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   70
20220925, 0600,  , LO, 23.1N,  20.3W,  25, 1007,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   80
20220925, 1200,  , LO, 23.7N,  20.1W,  25, 1007,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   80
20220925, 1800,  , LO, 24.1N,  19.8W,  25, 1008,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   90
20220926, 0000,  , LO, 24.6N,  19.4W,  25, 1008,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  100
