date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19780826,1200,,TD,23.4N,88.4W,25,1010
19780826,1800,,TD,24.2N,89.5W,25,-999
19780827,0000,,TD,24.4N,90.4W,25,-999
19780827,0600,,TD,24.5N,91.4W,25,1008
19780827,1200,,TD,24.6N,92.3W,25,-999
19780827,1800,,TD,25.1N,93.1W,25,-999
19780828,0000,,TD,25.8N,93.8W,25,1006
19780828,0600,,TD,26.8N,94.3W,25,-999
19780828,1200,,TD,27.8N,94.3W,30,-999
19780828,1800,,TS,28.7N,94.1W,40,1002
19780829,0000,,TS,29.6N,93.6W,50,1000
19780829,0600,,TD,30.7N,93.3W,30,-999
19780829,1200,,TD,32.0N,93.0W,30,1002
19780829,1800,,TD,34.2N,92.7W,15,1005
