date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19900825,0000,,TD,12.5N,35.0W,25,1010
19900825,0600,,TD,12.9N,36.1W,30,1009
19900825,1200,,TD,13.3N,37.3W,30,1008
19900825,1800,,TD,13.7N,38.5W,30,1008
19900826,0000,,TD,13.9N,39.4W,30,1007
19900826,0600,,TS,14.4N,40.0W,35,1005
19900826,1200,,TS,15.4N,40.2W,35,1004
19900826,1800,,TS,16.5N,40.3W,40,1003
19900827,0000,,TS,17.4N,40.5W,40,1002
19900827,0600,,TS,18.1N,41.0W,45,1001
19900827,1200,,TS,18.9N,41.7W,45,999
19900827,1800,,TS,20.0N,42.5W,50,997
19900828,0000,,TS,21.0N,43.2W,50,996
19900828,0600,,TS,21.7N,43.6W,55,994
19900828,1200,,TS,22.3N,44.1W,55,993
19900828,1800,,TS,22.8N,44.9W,55,994
19900829,0000,,TS,23.5N,45.7W,55,994
19900829,0600,,TS,24.4N,46.6W,50,995
19900829,1200,,TS,25.4N,47.6W,45,999
19900829,1800,,TS,26.6N,48.6W,35,1003
19900830,0000,,TD,27.9N,49.5W,30,1005
19900830,0600,,TD,29.3N,50.2W,30,1006
19900830,1200,,TD,31.0N,50.9W,30,1008
19900830,1800,,TD,32.8N,51.6W,25,1010
19900831,0000,,TD,34.4N,51.7W,25,1012
19900831,0600,,TD,36.2N,51.2W,20,1014
