date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_radius_nm_ne,34kt_wind_radius_nm_se,34kt_wind_radius_nm_nw,34kt_wind_radius_nm_sw,50kt_wind_radius_nm_ne,50kt_wind_radius_nm_se,50kt_wind_radius_nm_nw,50kt_wind_radius_nm_sw,64kt_wind_radius_nm_ne,64kt_wind_radius_nm_se,64kt_wind_radius_nm_nw,64kt_wind_radius_nm_sw,max_wind_radius_nm
20150905, 0600,  , TD, 12.0N,  23.1W,  25, 1010,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20150905, 1200,  , TD, 12.2N,  24.4W,  30, 1008,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20150905, 1800,  , TS, 12.3N,  25.7W,  35, 1007,   30,    0,    0,   30,    0,    0,    0,    0,    0,    0,    0,    0, -999
20150906, 0000,  , TS, 12.4N,  26.9W,  40, 1005,   30,    0,    0,   30,    0,    0,    0,    0,    0,    0,    0,    0, -999
20150906, 0600,  , TS, 12.5N,  28.0W,  45, 1002,   50,   30,   30,   50,    0,    0,    0,    0,    0,    0,    0,    0, -999
20150906, 1200,  , TS, 12.7N,  29.2W,  50, 1000,   50,   30,   30,   50,   20,    0,    0,    0,    0,    0,    0,    0, -999
20150906, 1800,  , TS, 12.9N,  30.5W,  45, 1002,   50,   30,   30,   50,    0,    0,    0,    0,    0,    0,    0,    0, -999
20150907, 0000,  , TS, 13.2N,  31.9W,  45, 1002,   50,   30,   30,   50,    0,    0,    0,    0,    0,    0,    0,    0, -999
20150907, 0600,  , TS, 13.5N,  33.4W,  45, 1002,   50,   30,   30,   50,    0,    0,    0,    0,    0,    0,    0,    0, -999
20150907, 1200,  , TS, 13.7N,  35.0W,  40, 1004,   50,   20,   20,   50,    0,    0,    0,    0,    0,    0,    0,    0, -999
20150907, 1800,  , TS, 13.8N,  36.7W,  40, 1004,   50,    0,    0,   50,    0,    0,    0,    0,    0,    0,    0,    0, -999
20150908, 0000,  , TS, 13.9N,  38.4W,  35, 1005,   40,    0,    0,   40,    0,    0,    0,    0,    0,    0,    0,    0, -999
20150908, 0600,  , TS, 14.0N,  40.1W,  35, 1005,   40,    0,    0,   40,    0,    0,    0,    0,    0,    0,    0,    0, -999
20150908, 1200,  , TD, 14.0N,  41.8W,  30, 1006,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20150908, 1800,  , TD, 14.0N,  43.4W,  30, 1006,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20150909, 0000,  , TD, 14.0N,  44.9W,  25, 1006,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20150909, 0600,  , TD, 14.0N,  46.4W,  25, 1006,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
