date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_radius_nm_ne,34kt_wind_radius_nm_se,34kt_wind_radius_nm_nw,34kt_wind_radius_nm_sw,50kt_wind_radius_nm_ne,50kt_wind_radius_nm_se,50kt_wind_radius_nm_nw,50kt_wind_radius_nm_sw,64kt_wind_radius_nm_ne,64kt_wind_radius_nm_se,64kt_wind_radius_nm_nw,64kt_wind_radius_nm_sw,max_wind_radius_nm
20150908, 0600,  , LO, 31.1N,  62.2W,  20, 1014,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20150908, 1200,  , LO, 30.9N,  61.9W,  25, 1012,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20150908, 1800,  , TD, 30.8N,  61.6W,  30, 1011,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20150909, 0000,  , TS, 30.8N,  61.4W,  35, 1009,   80,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20150909, 0600,  , TS, 30.8N,  61.2W,  35, 1007,   80,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20150909, 1200,  , TS, 30.8N,  61.0W,  40, 1005,   80,   80,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20150909, 1800,  , TS, 30.9N,  60.8W,  45, 1003,  120,  120,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20150910, 0000,  , TS, 31.2N,  60.8W,  45, 1003,  150,  150,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20150910, 0600,  , TS, 31.6N,  60.9W,  45, 1005,  150,  150,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20150910, 1200,  , TS, 32.2N,  60.9W,  40, 1006,  150,  150,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20150910, 1800,  , TS, 33.2N,  60.9W,  40, 1007,  150,  150,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20150911, 0000,  , TS, 34.3N,  60.7W,  40, 1009,  150,  150,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20150911, 0600,  , TS, 35.7N,  60.3W,  40, 1010,  150,  150,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
