date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19841105,1800,,TD,14.7N,68.8W,15,1004
19841106,0000,,TD,15.2N,68.1W,15,1003
19841106,0600,,TD,15.8N,67.7W,20,1003
19841106,1200,,TD,16.4N,67.1W,25,1002
19841106,1800,,TS,17.0N,66.7W,35,1001
19841107,0000,,TS,17.4N,66.2W,40,1000
19841107,0600,,TS,18.0N,65.8W,45,998
19841107,1200,,TS,18.5N,65.2W,50,997
19841107,1800,,TS,19.1N,64.7W,60,995
19841108,0000,,HU,19.4N,64.0W,65,992
19841108,0600,,HU,19.6N,63.1W,70,989
19841108,1200,,HU,19.7N,62.2W,75,986
19841108,1800,,HU,19.9N,61.4W,80,984
19841109,0000,,HU,20.4N,60.8W,80,982
19841109,0600,,HU,21.1N,60.1W,80,981
19841109,1200,,HU,21.8N,59.5W,80,980
19841109,1800,,HU,22.7N,58.7W,80,980
19841110,0000,,HU,23.8N,57.8W,80,979
19841110,0600,,HU,24.8N,56.6W,75,978
19841110,1200,,HU,26.2N,55.2W,75,977
19841110,1800,,HU,28.0N,54.0W,75,975
19841111,0000,,HU,29.5N,53.0W,75,971
19841111,0600,,HU,31.0N,52.5W,70,975
19841111,1200,,HU,32.2N,52.4W,70,977
19841111,1800,,HU,33.4N,52.7W,70,980
19841112,0000,,HU,34.6N,53.4W,70,982
19841112,0600,,HU,34.8N,54.2W,70,983
19841112,1200,,HU,35.0N,55.0W,65,984
19841112,1800,,SS,35.5N,54.2W,60,985
19841113,0000,,SS,36.5N,52.8W,60,986
19841113,0600,,SS,38.0N,51.0W,55,987
19841113,1200,,SS,40.0N,49.0W,55,988
19841113,1800,,EX,42.0N,47.0W,50,989
