date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19880805,1800,,TD,32.0N,77.5W,20,1015
19880806,0000,,TD,32.8N,76.2W,20,1014
19880806,0600,,TD,34.0N,75.2W,20,1013
19880806,1200,,TD,35.2N,74.6W,25,1012
19880806,1800,,TD,37.0N,73.5W,25,1011
19880807,0000,,TD,38.7N,72.4W,25,1009
19880807,0600,,TD,40.0N,70.8W,30,1006
19880807,1200,,TS,41.5N,69.0W,35,1002
19880807,1800,,TS,43.0N,67.5W,35,1002
19880808,0000,,TS,45.0N,65.5W,35,1004
19880808,0600,,TS,47.0N,63.0W,35,1006
19880808,1200,,EX,49.0N,60.0W,30,1008
19880808,1800,,EX,51.0N,56.0W,25,1010
