date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19960705,0000,,TD,9.8N,34.0W,30,1009
19960705,0600,,TD,10.2N,36.3W,30,1008
19960705,1200,,TS,11.0N,39.0W,35,1007
19960705,1800,,TS,12.0N,41.2W,35,1006
19960706,0000,,TS,12.7N,43.9W,35,1005
19960706,0600,,TS,13.1N,46.6W,35,1004
19960706,1200,,TS,13.7N,48.7W,40,1002
19960706,1800,,TS,14.2N,51.0W,45,1000
19960707,0000,,TS,14.9N,52.9W,50,999
19960707,0600,,TS,15.6N,54.8W,55,997
19960707,1200,,TS,16.4N,56.9W,60,995
19960707,1800,,HU,16.5N,58.4W,70,992
19960708,0000,,HU,17.0N,60.1W,75,988
19960708,0600,,HU,17.5N,61.8W,75,985
19960708,1200,,HU,18.0N,63.5W,70,983
19960708,1800,,HU,18.6N,64.9W,75,978
19960709,0000,,HU,19.4N,66.1W,80,970
19960709,0600,,HU,20.3N,67.7W,100,960
19960709,1200,,HU,21.4N,69.4W,100,965
19960709,1800,,HU,22.5N,71.1W,90,967
19960710,0000,,HU,23.6N,72.6W,85,969
19960710,0600,,HU,24.5N,74.0W,80,971
19960710,1200,,HU,25.4N,75.3W,80,968
19960710,1800,,HU,26.4N,75.8W,80,966
19960711,0000,,HU,27.5N,76.4W,75,968
19960711,0600,,HU,28.3N,76.8W,75,972
19960711,1200,,HU,29.2N,77.5W,75,977
19960711,1800,,HU,30.0N,78.0W,70,980
19960712,0000,,HU,30.7N,78.3W,70,982
19960712,0600,,HU,31.2N,78.6W,70,984
19960712,1200,,HU,32.2N,78.4W,85,975
19960712,1800,,HU,33.6N,78.1W,90,974
19960712,2000,L,HU,34.3N,77.8W,90,974
19960713,0000,,HU,35.0N,77.6W,65,993
19960713,0600,,TS,36.7N,77.0W,60,993
19960713,1200,,TS,38.3N,76.1W,60,994
19960713,1800,,TS,40.2N,74.5W,60,994
19960714,0000,,TS,42.1N,71.9W,60,994
19960714,0600,,TS,44.1N,69.0W,55,995
19960714,1200,,EX,46.0N,66.0W,50,995
19960714,1800,,EX,47.0N,62.0W,50,995
19960715,0000,,EX,48.0N,57.0W,50,995
19960715,0600,,EX,49.0N,52.0W,45,996
19960715,1200,,EX,51.0N,47.0W,40,996
19960715,1800,,EX,54.0N,44.0W,40,996
19960716,0000,,EX,57.5N,42.5W,40,991
19960716,0600,,EX,58.5N,42.5W,40,988
19960716,1200,,EX,59.5N,42.0W,45,988
19960716,1800,,EX,59.8N,41.0W,45,985
19960717,0000,,EX,60.0N,40.0W,40,993
19960717,0600,,EX,60.5N,39.0W,35,1001
