date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19520724,0000,,HU,16.5N,115.0W,75,-999
19520724,0600,,HU,16.8N,115.4W,75,-999
19520724,1200,,HU,17.0N,115.8W,75,-999
19520724,1800,,HU,17.1N,116.3W,75,-999
19520725,0000,,HU,17.1N,116.8W,75,-999
19520725,0600,,HU,17.2N,117.7W,75,-999
19520725,1200,,HU,17.4N,118.6W,75,-999
19520725,1800,,HU,17.6N,119.2W,75,-999
19520726,0000,,HU,17.8N,119.8W,75,-999
19520726,0600,,HU,18.2N,121.0W,75,-999
19520726,1200,,HU,18.6N,122.2W,75,-999
19520726,1800,,HU,19.2N,123.6W,75,-999
19520727,0000,,HU,20.0N,125.0W,75,-999
