date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19571129,0000,,TS,11.7N,162.5W,45,-999
19571129,0600,,TS,12.4N,162.3W,45,-999
19571129,1200,,TS,13.0N,161.8W,45,-999
19571129,1800,,TS,13.7N,161.5W,45,-999
19571130,0000,,HU,14.4N,161.3W,75,-999
19571130,0600,,HU,14.9N,161.2W,75,-999
19571130,1200,,HU,15.5N,160.9W,75,-999
19571130,1800,,HU,16.2N,160.8W,75,-999
19571201,0000,,HU,16.7N,160.7W,75,-999
19571201,0600,,HU,17.4N,160.6W,75,-999
19571201,1200,,HU,18.0N,160.5W,75,-999
19571201,1800,,HU,18.6N,160.7W,75,-999
19571202,0000,,HU,19.2N,160.8W,75,-999
19571202,0600,,HU,20.4N,161.0W,75,-999
19571202,1200,,HU,21.4N,161.4W,75,-999
19571202,1800,,HU,21.7N,162.7W,75,-999
19571203,0000,,HU,21.4N,163.6W,75,-999
19571203,0600,,HU,21.3N,163.9W,75,-999
19571203,1200,,HU,21.2N,164.4W,75,-999
19571203,1800,,HU,21.0N,164.7W,75,-999
19571204,0000,,HU,21.0N,165.2W,75,-999
19571204,0600,,HU,20.8N,166.1W,75,-999
19571204,1200,,HU,20.7N,167.1W,75,-999
19571204,1800,,HU,20.5N,168.1W,75,-999
19571205,0000,,HU,20.5N,169.0W,75,-999
19571205,0600,,HU,20.5N,170.0W,75,-999
19571205,1200,,HU,20.5N,171.0W,75,-999
19571205,1800,,HU,20.4N,172.2W,75,-999
19571206,0000,,TS,20.0N,173.0W,45,-999
19571206,0600,,TS,18.9N,173.3W,45,-999
19571206,1200,,TD,17.7N,173.3W,25,-999
