date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19570715,0000,,HU,11.9N,108.2W,75,-999
19570715,0600,,HU,11.8N,109.6W,75,-999
19570715,1200,,HU,11.8N,110.7W,75,-999
19570715,1800,,HU,11.8N,111.6W,75,-999
19570716,0000,,HU,11.7N,112.5W,75,-999
19570716,0600,,HU,11.6N,113.3W,75,-999
19570716,1200,,HU,11.5N,114.0W,75,-999
19570716,1800,,HU,11.4N,115.0W,75,-999
19570717,0000,,HU,11.4N,116.0W,75,-999
19570717,0600,,HU,11.5N,116.9W,75,-999
19570717,1200,,HU,11.6N,117.8W,75,-999
19570717,1800,,HU,11.7N,118.5W,75,-999
19570718,0000,,HU,11.9N,119.2W,75,-999
19570718,0600,,HU,12.0N,120.0W,75,-999
19570718,1200,,HU,12.2N,120.8W,75,-999
19570718,1800,,HU,12.5N,121.7W,75,-999
19570719,0000,,HU,12.9N,122.6W,75,-999
19570719,0600,,HU,13.1N,123.6W,75,-999
19570719,1200,,HU,13.4N,124.5W,75,-999
19570719,1800,,HU,13.7N,125.4W,75,-999
19570720,0000,,HU,14.1N,126.4W,75,-999
19570720,0600,,HU,14.5N,127.2W,75,-999
19570720,1200,,HU,14.9N,128.0W,75,-999
19570720,1800,,HU,15.3N,128.8W,75,-999
19570721,0000,,HU,15.7N,129.7W,75,-999
19570721,0600,,HU,16.1N,131.1W,75,-999
19570721,1200,,HU,16.4N,132.6W,75,-999
19570721,1800,,HU,16.8N,133.6W,75,-999
19570722,0000,,HU,17.1N,134.7W,75,-999
19570722,0600,,HU,17.3N,135.9W,75,-999
19570722,1200,,HU,17.5N,137.1W,75,-999
19570722,1800,,HU,17.7N,138.2W,75,-999
19570723,0000,,HU,17.8N,139.3W,75,-999
19570723,0600,,HU,17.9N,140.5W,75,-999
19570723,1200,,HU,18.0N,141.8W,75,-999
19570723,1800,,HU,18.3N,142.9W,75,-999
19570724,0000,,HU,18.6N,144.0W,75,-999
19570724,0600,,HU,18.7N,144.8W,75,-999
19570724,1200,,HU,18.8N,145.6W,75,-999
19570724,1800,,HU,18.9N,146.2W,75,-999
19570725,0000,,HU,19.1N,146.9W,75,-999
19570725,0600,,HU,19.3N,148.4W,75,-999
19570725,1200,,HU,19.4N,149.9W,75,-999
19570725,1800,,HU,19.5N,151.8W,75,-999
19570726,0000,,HU,19.7N,154.0W,75,-999
