date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19590801,1800,,TS,15.7N,141.2W,60,-999
19590802,0000,,HU,15.8N,141.8W,90,-999
19590802,0600,,HU,15.7N,142.9W,100,-999
19590802,1200,,HU,15.6N,144.0W,110,-999
19590802,1800,,HU,15.5N,144.9W,120,-999
19590803,0000,,HU,15.3N,145.7W,130,952
19590803,0600,,HU,15.3N,146.7W,120,-999
19590803,1200,,HU,15.4N,147.8W,120,-999
19590803,1800,,HU,15.6N,148.6W,120,-999
19590804,0000,,HU,15.9N,149.4W,120,-999
19590804,0600,,HU,16.3N,150.4W,120,-999
19590804,1200,,HU,16.6N,151.5W,120,-999
19590804,1800,,HU,16.7N,152.6W,120,-999
19590805,0000,,HU,17.0N,153.9W,120,-999
19590805,0600,,HU,17.1N,155.0W,120,-999
19590805,1200,,HU,17.3N,156.0W,115,-999
19590805,1800,,HU,17.7N,156.8W,110,-999
19590806,0000,,HU,18.2N,157.7W,110,-999
19590806,0600,,HU,18.7N,158.2W,100,-999
19590806,1200,,HU,19.5N,158.5W,100,-999
19590806,1800,,HU,20.3N,158.8W,100,-999
19590807,0000,,HU,21.0N,159.0W,80,-999
19590807,0600,,HU,21.8N,159.5W,75,-999
19590807,1200,,TS,22.4N,159.5W,45,-999
19590807,1800,,TS,22.9N,160.7W,45,-999
19590808,0000,,TS,23.0N,162.1W,45,-999
19590808,0600,,TD,23.2N,163.0W,25,-999
