date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19590906,0600,,HU,20.0N,180.0W,75,-999
19590906,1200,,HU,20.8N,179.5W,120,-999
19590906,1800,,HU,22.2N,178.5W,150,-999
19590907,0000,,HU,23.5N,178.1W,120,-999
19590907,0600,,HU,24.9N,178.2W,120,-999
19590907,1200,,HU,26.2N,179.1W,120,-999
19590907,1800,,HU,26.9N,179.7W,120,-999
19590908,0000,,HU,27.3N,178.7W,100,-999
19590908,0600,,HU,27.7N,178.2W,100,-999
19590908,1200,,HU,27.9N,178.0W,100,-999
19590908,1800,,HU,28.1N,177.9W,120,-999
19590909,0000,,HU,28.4N,178.0W,90,-999
19590909,0600,,HU,29.2N,178.7W,90,-999
19590909,1200,,HU,30.2N,179.3W,80,-999
19590909,1800,,HU,31.2N,180.0W,80,-999
19590910,0000,,TS,32.4N,179.6W,60,-999
19590910,0600,,TS,33.5N,179.6W,45,-999
19590910,1200,,TS,34.5N,179.8W,45,-999
