date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19600903,0000,,HU,12.0N,92.0W,75,-999
19600903,0600,,HU,12.3N,93.3W,75,-999
19600903,1200,,HU,12.6N,94.5W,75,-999
19600903,1800,,HU,12.8N,95.6W,75,-999
19600904,0000,,HU,13.0N,96.7W,75,-999
19600904,0600,,HU,13.4N,97.8W,75,-999
19600904,1200,,HU,13.8N,98.9W,75,-999
19600904,1800,,HU,13.9N,100.0W,75,-999
19600905,0000,,HU,14.1N,101.2W,75,-999
19600905,0600,,HU,15.2N,102.2W,75,-999
19600905,1200,,HU,16.4N,102.9W,75,-999
19600905,1800,,HU,16.9N,103.4W,75,-999
19600906,0000,,HU,17.2N,104.0W,75,-999
19600906,0600,,HU,17.1N,104.5W,75,-999
19600906,1200,,HU,17.1N,104.9W,75,-999
19600906,1800,,HU,17.3N,105.4W,75,-999
19600907,0000,,HU,17.5N,106.0W,75,-999
19600907,0600,,HU,17.6N,106.5W,75,-999
19600907,1200,,HU,17.8N,107.1W,75,-999
19600907,1800,,HU,18.0N,107.6W,75,-999
19600908,0000,,HU,18.3N,108.1W,75,-999
19600908,0600,,HU,18.6N,108.7W,75,-999
19600908,1200,,HU,18.8N,109.3W,75,-999
