date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19610715,0000,,TS,14.3N,98.0W,45,-999
19610715,0600,,TS,14.7N,99.8W,45,-999
19610715,1200,,TS,15.1N,101.5W,45,-999
19610715,1800,,TS,15.6N,103.1W,45,-999
19610716,0000,,TS,16.1N,104.8W,45,-999
19610716,0600,,TS,16.6N,106.4W,45,-999
19610716,1200,,TS,17.1N,108.1W,45,-999
19610716,1800,,TS,17.9N,109.7W,45,-999
19610717,0000,,TS,18.6N,111.3W,45,-999
19610717,0600,,TS,18.9N,112.3W,45,-999
19610717,1200,,TS,19.1N,113.4W,45,-999
19610717,1800,,TS,19.2N,114.9W,45,-999
19610718,0000,,TS,19.4N,116.3W,45,-999
19610718,0600,,TS,19.7N,117.0W,45,-999
19610718,1200,,TS,20.1N,117.7W,45,-999
19610718,1800,,TS,20.9N,118.7W,45,-999
19610719,0000,,TS,21.9N,119.6W,45,-999
19610719,0600,,TS,23.0N,120.3W,45,-999
19610719,1200,,TS,24.3N,120.7W,45,-999
