date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19630714,1200,,HU,18.4N,109.7W,75,-999
19630714,1800,,HU,18.1N,111.0W,75,-999
19630715,0000,,HU,18.0N,112.3W,75,-999
19630715,0600,,HU,17.9N,113.7W,75,-999
19630715,1200,,HU,18.0N,115.2W,75,-999
19630715,1800,,HU,18.2N,117.5W,75,-999
19630716,0000,,HU,18.5N,119.7W,75,-999
19630716,0600,,HU,18.9N,120.8W,75,-999
19630716,1200,,HU,19.2N,122.0W,75,-999
19630716,1800,,HU,19.2N,123.1W,75,-999
19630717,0000,,HU,19.1N,124.1W,75,-999
19630717,0600,,HU,19.1N,125.5W,75,-999
19630717,1200,,HU,19.1N,126.9W,75,-999
