date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19630924,1200,,TS,16.9N,102.7W,45,-999
19630924,1800,,TS,16.9N,102.9W,45,-999
19630925,0000,,TS,17.2N,103.4W,45,-999
19630925,0600,,TS,17.9N,104.2W,45,-999
19630925,1200,,TS,18.6N,105.0W,45,-999
19630925,1800,,TS,18.9N,105.6W,45,-999
19630926,0000,,TS,19.2N,106.2W,45,-999
19630926,0600,,TS,19.6N,106.8W,45,-999
19630926,1200,,TS,20.0N,107.4W,45,-999
19630926,1800,,TS,20.3N,107.8W,45,-999
19630927,0000,,TS,20.6N,107.9W,45,-999
19630927,0600,,TS,20.8N,108.1W,45,-999
19630927,1200,,TS,21.0N,108.0W,45,-999
19630927,1800,,TS,21.3N,107.6W,45,-999
19630928,0000,,TS,21.7N,107.2W,45,-999
19630928,0600,,TS,21.9N,106.7W,45,-999
19630928,1200,,TS,22.1N,106.3W,45,-999
19630928,1800,,TS,22.8N,106.3W,45,-999
19630929,0000,,TS,23.9N,106.9W,45,-999
