date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19640715,0000,,HU,15.1N,112.0W,75,-999
19640715,0600,,HU,15.2N,112.8W,75,-999
19640715,1200,,HU,15.3N,113.6W,75,-999
19640715,1800,,HU,15.6N,114.5W,75,-999
19640716,0000,,HU,15.9N,115.3W,75,-999
19640716,0600,,HU,16.0N,116.3W,75,-999
19640716,1200,,HU,16.2N,117.4W,75,-999
19640716,1800,,HU,16.5N,118.5W,75,-999
19640717,0000,,HU,16.8N,119.7W,75,-999
19640717,0600,,HU,17.1N,121.0W,75,-999
19640717,1200,,HU,17.4N,122.2W,75,-999
19640717,1800,,HU,17.9N,123.4W,75,-999
19640718,0000,,HU,18.6N,124.6W,75,-999
19640718,0600,,HU,19.3N,125.5W,75,-999
19640718,1200,,HU,20.0N,126.4W,75,-999
19640718,1800,,HU,20.5N,127.5W,75,-999
19640719,0000,,HU,20.8N,128.7W,75,-999
19640719,0600,,HU,20.9N,129.8W,75,-999
19640719,1200,,HU,20.7N,131.0W,75,-999
