date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19650630,1200,,TS,11.7N,96.3W,45,-999
19650630,1800,,TS,11.7N,96.7W,45,-999
19650701,0000,,TS,11.8N,97.0W,45,-999
19650701,0600,,TS,11.9N,97.3W,45,-999
19650701,1200,,TS,12.1N,97.7W,45,-999
19650701,1800,,TS,12.4N,98.2W,45,-999
19650702,0000,,TS,12.8N,98.8W,45,-999
19650702,0600,,TS,13.0N,99.3W,45,-999
19650702,1200,,TS,13.2N,99.9W,45,-999
19650702,1800,,TS,13.5N,100.6W,45,-999
19650703,0000,,TS,13.9N,101.3W,45,-999
19650703,0600,,TS,14.0N,102.1W,45,-999
19650703,1200,,TS,14.2N,102.8W,45,-999
19650703,1800,,TS,14.6N,103.4W,45,-999
19650704,0000,,TS,15.0N,104.0W,45,-999
19650704,0600,,TS,15.5N,104.5W,45,-999
19650704,1200,,TS,16.0N,105.0W,45,-999
19650704,1800,,TS,16.6N,106.0W,45,-999
19650705,0000,,TS,16.9N,107.1W,45,-999
19650705,0600,,TS,16.9N,109.0W,45,-999
19650705,1200,,TS,16.8N,111.0W,45,-999
19650705,1800,,TS,16.7N,112.5W,45,-999
19650706,0000,,TS,16.7N,114.1W,45,-999
19650706,0600,,TS,16.8N,115.4W,45,-999
19650706,1200,,TS,17.1N,116.6W,45,-999
19650706,1800,,TS,17.4N,117.9W,45,-999
19650707,0000,,TS,17.8N,119.2W,45,-999
19650707,0600,,TS,18.3N,120.7W,45,-999
19650707,1200,,TS,18.7N,122.3W,45,-999
19650707,1800,,TS,18.9N,123.7W,45,-999
19650708,0000,,TS,19.0N,125.1W,45,-999
