date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19650924,0000,,TD,19.0N,109.8W,25,-999
19650924,0600,,TD,19.3N,110.0W,25,-999
19650924,1200,,TD,19.7N,110.1W,25,-999
19650924,1800,,TS,20.1N,110.1W,45,-999
19650925,0000,,TS,20.6N,110.0W,45,-999
19650925,0600,,TS,21.3N,109.7W,45,-999
19650925,1200,,TS,21.9N,109.2W,45,-999
19650925,1800,,TS,22.3N,108.6W,45,-999
19650926,0000,,TS,22.5N,108.0W,45,-999
19650926,0600,,TS,22.7N,107.4W,45,-999
19650926,1200,,TS,22.9N,106.8W,45,-999
19650926,1800,,TS,23.1N,106.1W,45,-999
19650927,0000,,TS,23.4N,105.2W,45,-999
