date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19660620,0000,,TD,14.3N,100.2W,25,-999
19660620,0600,,TD,14.6N,100.4W,25,-999
19660620,1200,,TD,14.9N,100.6W,25,-999
19660620,1800,,TD,15.1N,100.8W,25,-999
19660621,0000,,TD,15.3N,101.0W,25,-999
19660621,0600,,TD,15.4N,101.2W,25,-999
19660621,1200,,TS,15.6N,101.4W,45,-999
19660621,1800,,TS,15.8N,101.7W,45,-999
19660622,0000,,TS,16.0N,102.1W,45,-999
19660622,0600,,TS,16.1N,102.4W,45,-999
19660622,1200,,TS,16.2N,102.6W,45,-999
19660622,1800,,TS,16.3N,103.3W,45,-999
19660623,0000,,HU,16.5N,103.9W,75,-999
19660623,0600,,HU,16.7N,103.9W,75,-999
19660623,1200,,HU,17.0N,103.8W,75,-999
19660623,1800,,HU,17.5N,103.6W,75,-999
19660624,0000,,HU,18.0N,103.4W,75,-999
19660624,0600,,TS,18.3N,103.2W,45,-999
19660624,1200,,TD,18.4N,103.1W,25,-999
