date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19660808,0000,,TS,14.0N,122.9W,45,-999
19660808,0600,,TS,14.0N,123.6W,45,-999
19660808,1200,,TS,14.0N,124.3W,45,-999
19660808,1800,,TS,14.0N,124.9W,45,-999
19660809,0000,,TS,14.0N,125.6W,45,-999
19660809,0600,,TS,14.0N,126.4W,45,-999
19660809,1200,,TS,14.0N,127.2W,45,-999
19660809,1800,,TS,14.0N,128.0W,45,-999
19660810,0000,,TS,14.0N,128.9W,45,-999
19660810,0600,,TS,14.2N,130.4W,45,-999
19660810,1200,,TS,14.6N,131.8W,45,-999
19660810,1800,,TS,15.1N,133.3W,45,-999
19660811,0000,,TS,15.6N,134.7W,45,-999
19660811,0600,,TS,16.0N,135.7W,45,-999
19660811,1200,,TS,16.4N,136.7W,45,-999
19660811,1800,,TS,16.7N,137.6W,45,-999
19660812,0000,,TS,17.0N,138.5W,45,-999
19660812,0600,,TS,17.3N,139.6W,45,-999
19660812,1200,,TS,17.6N,140.8W,45,-999
19660812,1800,,TS,17.7N,141.7W,45,-999
19660813,0000,,TS,17.8N,142.6W,45,-999
19660813,0600,,TS,17.8N,143.3W,45,-999
19660813,1200,,HU,17.8N,144.0W,75,-999
19660813,1800,,HU,17.8N,144.5W,75,-999
19660814,0000,,HU,17.7N,145.0W,75,-999
19660814,0600,,HU,17.6N,145.5W,75,-999
19660814,1200,,HU,17.6N,146.0W,75,-999
19660814,1800,,HU,17.6N,146.6W,75,-999
19660815,0000,,HU,17.5N,147.2W,75,-999
19660815,0600,,HU,17.4N,147.7W,75,-999
19660815,1200,,HU,17.3N,148.2W,75,-999
19660815,1800,,TS,17.3N,149.0W,45,-999
19660816,0000,,TS,17.3N,149.8W,45,-999
19660816,0600,,TS,17.2N,151.4W,45,-999
19660816,1200,,TS,17.0N,153.0W,45,-999
19660816,1800,,TS,16.7N,154.0W,45,-999
19660817,0000,,TS,16.4N,154.8W,45,-999
19660817,0600,,TS,16.1N,155.6W,45,-999
19660817,1200,,TS,15.8N,156.3W,45,-999
