date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19660823,0000,,TD,16.2N,111.2W,25,-999
19660823,0600,,TD,16.7N,112.0W,25,-999
19660823,1200,,TD,17.1N,112.9W,25,-999
19660823,1800,,TD,17.5N,113.8W,25,-999
19660824,0000,,TD,17.9N,114.8W,25,-999
19660824,0600,,TS,18.2N,115.7W,45,-999
19660824,1200,,TS,18.5N,116.6W,45,-999
19660824,1800,,TS,18.8N,117.3W,45,-999
19660825,0000,,TS,19.0N,118.0W,45,-999
19660825,0600,,TS,19.3N,119.1W,45,-999
19660825,1200,,TS,19.5N,120.3W,45,-999
19660825,1800,,TS,19.7N,121.2W,45,-999
19660826,0000,,TS,19.9N,122.2W,45,-999
19660826,0600,,HU,20.1N,123.1W,75,-999
19660826,1200,,HU,20.3N,124.1W,75,-999
19660826,1800,,HU,20.5N,124.8W,75,-999
19660827,0000,,HU,20.7N,125.4W,75,-999
19660827,0600,,HU,21.0N,126.4W,75,-999
19660827,1200,,HU,21.2N,127.4W,75,-999
19660827,1800,,TS,21.6N,128.2W,45,-999
19660828,0000,,TS,22.1N,129.0W,45,-999
19660828,0600,,TS,23.0N,129.6W,45,-999
19660828,1200,,TS,24.0N,129.8W,45,-999
19660828,1800,,TS,24.9N,129.6W,45,-999
19660829,0000,,TD,25.6N,129.0W,25,-999
