date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19660906,0000,,TD,15.7N,107.7W,25,-999
19660906,0600,,TD,16.1N,108.7W,25,-999
19660906,1200,,TS,16.4N,109.7W,45,-999
19660906,1800,,HU,16.7N,110.6W,75,-999
19660907,0000,,HU,16.9N,111.6W,75,-999
19660907,0600,,HU,17.1N,112.5W,75,-999
19660907,1200,,HU,17.3N,113.5W,75,-999
19660907,1800,,HU,17.4N,114.5W,75,-999
19660908,0000,,HU,17.4N,115.6W,75,-999
19660908,0600,,HU,17.7N,116.2W,75,-999
19660908,1200,,HU,17.9N,116.9W,75,-999
19660908,1800,,HU,17.9N,118.3W,75,-999
19660909,0000,,HU,17.8N,119.6W,75,-999
19660909,0600,,HU,17.7N,121.2W,75,-999
19660909,1200,,HU,17.5N,122.7W,75,-999
19660909,1800,,TS,17.1N,124.0W,45,-999
19660910,0000,,TS,16.6N,125.2W,45,-999
19660910,0600,,TS,16.4N,126.2W,45,-999
19660910,1200,,TS,16.2N,127.1W,45,-999
19660910,1800,,TS,15.8N,128.0W,45,-999
19660911,0000,,TS,15.2N,128.8W,45,-999
19660911,0600,,TS,14.6N,129.0W,45,-999
19660911,1200,,TS,14.1N,129.2W,45,-999
19660911,1800,,TS,13.8N,129.6W,45,-999
19660912,0000,,TS,13.9N,130.1W,45,-999
19660912,0600,,TS,14.4N,130.7W,45,-999
19660912,1200,,TS,15.0N,131.2W,45,-999
19660912,1800,,TS,15.7N,131.6W,45,-999
19660913,0000,,TS,16.4N,131.8W,45,-999
19660913,0600,,TS,17.5N,131.9W,45,-999
19660913,1200,,TS,18.5N,131.6W,45,-999
19660913,1800,,TS,19.1N,131.1W,45,-999
19660914,0000,,TS,19.6N,130.5W,45,-999
19660914,0600,,TS,20.3N,129.7W,45,-999
19660914,1200,,TS,20.9N,128.8W,45,-999
19660914,1800,,TS,21.2N,127.9W,45,-999
19660915,0000,,TS,21.4N,126.9W,45,-999
19660915,0600,,TD,21.5N,126.5W,25,-999
19660915,1200,,TD,21.5N,126.2W,25,-999
19660915,1800,,TD,21.5N,126.0W,25,-999
19660916,0000,,TD,21.5N,125.7W,25,-999
19660916,0600,,TD,21.5N,125.4W,25,-999
19660916,1200,,TD,21.5N,125.1W,25,-999
