date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19661016,1200,,TD,11.5N,97.1W,25,-999
19661016,1800,,TD,12.2N,98.0W,25,-999
19661017,0000,,TD,12.9N,98.7W,25,-999
19661017,0600,,TD,13.8N,99.3W,25,-999
19661017,1200,,TD,14.6N,100.0W,25,-999
19661017,1800,,TD,15.3N,100.6W,25,-999
19661018,0000,,TD,15.9N,101.3W,25,-999
19661018,0600,,TS,16.6N,102.1W,45,-999
19661018,1200,,TS,17.4N,103.0W,45,-999
19661018,1800,,TS,18.2N,104.0W,45,-999
19661019,0000,,TS,19.2N,104.9W,45,-999
19661019,0600,,TD,20.4N,105.3W,25,-999
19661019,1200,,TD,21.9N,105.1W,25,-999
