date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19670909,0000,,TS,11.4N,150.3W,60,-999
19670909,0600,,TS,11.7N,151.8W,60,-999
19670909,1200,,TS,12.4N,153.6W,60,-999
19670909,1800,,TS,13.1N,155.3W,60,-999
19670910,0000,,TS,14.0N,156.7W,55,-999
19670910,0600,,TS,14.5N,158.1W,55,-999
19670910,1200,,TS,15.0N,160.0W,55,-999
19670910,1800,,TS,15.6N,161.2W,55,-999
19670911,0000,,HU,16.3N,162.2W,65,-999
19670911,0600,,HU,16.8N,163.3W,65,-999
19670911,1200,,TS,17.4N,164.3W,60,-999
19670911,1800,,TS,18.0N,165.4W,60,-999
19670912,0000,,TS,18.4N,166.6W,55,-999
19670912,0600,,TS,18.5N,168.2W,55,-999
19670912,1200,,TS,18.4N,169.5W,55,-999
19670912,1800,,TS,18.2N,170.7W,55,-999
19670913,0000,,TS,18.0N,172.1W,50,-999
19670913,0600,,TS,18.0N,173.9W,50,-999
19670913,1200,,TS,18.0N,175.8W,55,-999
19670913,1800,,TS,18.0N,177.7W,60,-999
19670914,0000,,TS,18.0N,179.4W,60,-999
19670914,0600,,HU,17.8N,178.6E,70,-999
19670914,1200,,HU,17.7N,177.1E,80,-999
19670914,1800,,HU,17.6N,176.2E,90,-999
19670915,0000,,HU,17.6N,175.3E,100,-999
19670915,0600,,HU,17.9N,174.1E,100,-999
19670915,1200,,HU,18.2N,172.7E,100,-999
19670915,1800,,HU,18.6N,171.1E,110,-999
19670916,0000,,HU,18.9N,169.4E,120,-999
19670916,0600,,HU,19.1N,167.8E,120,-999
19670916,1200,,HU,19.3N,166.1E,130,933
19670916,1800,,HU,19.8N,164.8E,120,-999
19670917,0000,,HU,20.2N,163.6E,110,-999
19670917,0600,,HU,20.3N,162.1E,110,-999
19670917,1200,,HU,20.3N,160.8E,110,-999
19670917,1800,,HU,20.2N,160.0E,110,-999
19670918,0000,,HU,20.1N,159.4E,100,-999
19670918,0600,,HU,20.0N,158.8E,100,-999
19670918,1200,,HU,20.0N,158.2E,100,-999
19670918,1800,,HU,20.3N,157.6E,100,-999
19670919,0000,,HU,20.8N,157.0E,90,-999
19670919,0600,,HU,21.4N,156.4E,90,-999
19670919,1200,,HU,22.3N,155.8E,90,-999
19670919,1800,,HU,23.7N,154.6E,90,-999
19670920,0000,,HU,25.2N,153.3E,80,-999
19670920,0600,,HU,26.4N,152.7E,80,-999
19670920,1200,,HU,27.6N,152.1E,80,-999
19670920,1800,,HU,28.7N,150.6E,80,-999
19670921,0000,,HU,29.9N,149.1E,70,-999
19670921,0600,,HU,31.2N,148.6E,70,-999
19670921,1200,,HU,32.8N,148.9E,70,-999
19670921,1800,,HU,34.5N,149.7E,70,-999
19670922,0000,,HU,36.4N,151.1E,70,-999
