date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19670713,0000,,TD,15.0N,116.9W,25,-999
19670713,0600,,TD,15.6N,118.3W,25,-999
19670713,1200,,TD,16.3N,119.7W,25,-999
19670713,1800,,TD,16.6N,120.2W,30,-999
19670714,0000,,TS,16.9N,120.7W,45,-999
19670714,0600,,TS,17.3N,122.9W,45,-999
19670714,1200,,TS,17.7N,125.1W,55,-999
19670714,1800,,TS,18.0N,126.8W,55,-999
19670715,0000,,TS,18.3N,128.4W,55,-999
19670715,0600,,TS,18.7N,129.9W,45,-999
19670715,1200,,TS,19.2N,131.3W,45,-999
19670715,1800,,TS,19.6N,132.3W,35,-999
19670716,0000,,TD,19.9N,133.3W,25,-999
19670716,0600,,TD,20.0N,134.3W,25,-999
19670716,1200,,TD,20.0N,135.3W,25,-999
19670716,1800,,TD,20.0N,136.3W,25,-999
19670717,0000,,TD,20.1N,137.3W,25,-999
19670717,0600,,TD,20.2N,138.0W,25,-999
19670717,1200,,TD,20.4N,138.9W,25,-999
19670717,1800,,TD,20.7N,140.0W,25,-999
19670718,0000,,TD,21.0N,141.0W,25,-999
19670718,0600,,TD,21.3N,142.2W,25,-999
19670718,1200,,TD,21.6N,143.2W,25,-999
19670718,1800,,TD,21.8N,144.2W,25,-999
19670719,0000,,TD,22.0N,145.0W,25,-999
19670719,0600,,TD,22.5N,146.2W,25,-999
19670719,1200,,TD,22.8N,147.3W,25,-999
19670719,1800,,TD,23.4N,148.7W,25,-999
19670720,0000,,TD,24.0N,150.0W,25,-999
19670720,0600,,TD,24.3N,151.2W,25,-999
19670720,1200,,TD,24.5N,152.2W,25,-999
19670720,1800,,TD,24.7N,153.2W,25,-999
19670721,0000,,TD,25.0N,154.0W,25,-999
19670721,0600,,TD,25.5N,155.4W,25,-999
19670721,1200,,TD,26.0N,156.7W,25,-999
19670721,1800,,TD,26.5N,157.8W,25,-999
19670722,0000,,TD,27.0N,158.0W,25,-999
