date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19670818,0000,,TS,15.0N,111.0W,45,-999
19670818,0600,,TS,16.4N,114.1W,45,-999
19670818,1200,,TS,17.3N,116.0W,45,-999
19670818,1800,,TS,17.8N,117.0W,60,-999
19670819,0000,,HU,18.3N,117.9W,75,-999
19670819,0600,,HU,18.9N,119.0W,75,-999
19670819,1200,,HU,19.4N,120.0W,75,-999
19670819,1800,,HU,19.9N,120.8W,75,-999
19670820,0000,,TS,20.4N,121.6W,45,-999
19670820,0600,,TS,21.0N,122.4W,45,-999
19670820,1200,,TS,21.6N,123.1W,45,-999
19670820,1800,,TS,22.3N,123.7W,45,-999
19670821,0000,,TS,22.9N,124.3W,45,-999
19670821,0600,,TS,23.4N,124.8W,45,-999
19670821,1200,,TS,23.7N,125.3W,45,-999
19670821,1800,,TS,23.9N,125.7W,45,-999
19670822,0000,,TS,24.0N,126.0W,45,-999
