date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19670913,1200,,TD,15.0N,113.1W,25,-999
19670913,1800,,TD,15.4N,114.6W,25,-999
19670914,0000,,TS,15.6N,116.1W,45,-999
19670914,0600,,TS,15.6N,116.5W,45,-999
19670914,1200,,TS,15.5N,116.9W,45,-999
19670914,1800,,TS,15.5N,117.3W,45,-999
19670915,0000,,TS,15.5N,117.7W,45,-999
19670915,0600,,TS,15.4N,118.2W,45,-999
19670915,1200,,TS,15.4N,118.7W,45,-999
19670915,1800,,TS,15.5N,119.4W,45,-999
19670916,0000,,TS,15.6N,120.0W,45,-999
19670916,0600,,TS,15.6N,120.7W,45,-999
19670916,1200,,TS,15.7N,121.3W,45,-999
19670916,1800,,TS,15.8N,122.1W,45,-999
19670917,0000,,TS,16.0N,122.8W,45,-999
19670917,0600,,TS,16.2N,123.6W,45,-999
19670917,1200,,TS,16.4N,124.3W,45,-999
19670917,1800,,TS,16.7N,125.1W,45,-999
19670918,0000,,TS,17.1N,126.0W,45,-999
19670918,0600,,TS,17.5N,126.9W,45,-999
19670918,1200,,TS,17.9N,127.8W,45,-999
19670918,1800,,TS,18.5N,128.8W,45,-999
19670919,0000,,TS,19.4N,129.5W,45,-999
19670919,0600,,TS,19.7N,129.7W,45,-999
19670919,1200,,TS,20.0N,129.8W,45,-999
19670919,1800,,TS,20.2N,129.9W,45,-999
19670920,0000,,TS,20.5N,129.9W,45,-999
19670920,0600,,TS,20.9N,129.4W,45,-999
19670920,1200,,TS,21.0N,128.7W,45,-999
19670920,1800,,TS,21.0N,128.1W,45,-999
19670921,0000,,TS,20.9N,127.5W,45,-999
19670921,0600,,TS,20.8N,127.0W,45,-999
19670921,1200,,TS,20.7N,126.5W,45,-999
