date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19671006,0000,,TD,13.2N,109.1W,25,-999
19671006,0600,,TD,13.3N,109.5W,25,-999
19671006,1200,,TD,13.4N,109.9W,25,-999
19671006,1800,,TD,13.5N,110.4W,25,-999
19671007,0000,,TD,13.6N,110.9W,25,-999
19671007,0600,,TD,13.7N,111.2W,25,-999
19671007,1200,,TD,13.7N,111.6W,25,-999
19671007,1800,,TD,13.7N,112.1W,25,-999
19671008,0000,,TD,13.8N,112.6W,25,-999
19671008,0600,,TD,13.9N,113.1W,25,-999
19671008,1200,,TD,14.1N,113.6W,25,-999
19671008,1800,,TD,14.2N,113.8W,25,-999
19671009,0000,,TS,14.2N,113.9W,45,-999
19671009,0600,,TS,14.3N,114.1W,45,-999
19671009,1200,,TS,14.4N,114.2W,45,-999
19671009,1800,,TS,14.6N,114.4W,45,-999
19671010,0000,,TS,14.9N,114.6W,45,-999
19671010,0600,,TS,15.1N,114.7W,45,-999
19671010,1200,,TS,15.4N,114.7W,45,-999
19671010,1800,,TS,16.0N,114.7W,45,-999
19671011,0000,,TS,16.6N,114.6W,45,-999
19671011,0600,,TS,17.1N,114.4W,45,-999
19671011,1200,,TS,17.6N,114.2W,45,-999
19671011,1800,,TS,18.3N,114.0W,45,-999
19671012,0000,,TS,18.9N,113.7W,45,-999
19671012,0600,,TS,19.5N,113.4W,45,-999
19671012,1200,,TS,20.0N,113.1W,45,-999
19671012,1800,,TS,21.1N,112.7W,45,-999
19671013,0000,,TS,22.3N,112.3W,45,-999
19671013,0600,,TS,23.2N,111.8W,45,-999
19671013,1200,,TS,24.0N,111.3W,45,-999
19671013,1800,,HU,25.3N,110.8W,75,-999
19671014,0000,,HU,26.5N,111.0W,90,-999
19671014,0600,,HU,26.9N,111.6W,110,-999
19671014,1200,,HU,27.0N,112.2W,75,-999
19671014,1800,,TS,27.1N,112.7W,45,-999
19671015,0000,,TD,27.1N,113.2W,25,-999
