date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19680821,0000,,TD,13.0N,96.0W,25,-999
19680821,0600,,TD,13.1N,96.9W,25,-999
19680821,1200,,TD,13.2N,97.8W,25,-999
19680821,1800,,TD,13.5N,98.8W,25,-999
19680822,0000,,TS,13.8N,99.7W,45,-999
19680822,0600,,TS,14.1N,101.2W,45,-999
19680822,1200,,TS,14.4N,102.7W,45,-999
19680822,1800,,TS,14.6N,104.2W,45,-999
19680823,0000,,TS,14.8N,105.7W,45,-999
19680823,0600,,TS,15.2N,107.2W,45,-999
19680823,1200,,TS,15.9N,108.6W,45,-999
19680823,1800,,TS,16.7N,110.1W,45,-999
19680824,0000,,TS,17.6N,111.6W,45,-999
19680824,0600,,TS,18.3N,113.1W,45,-999
19680824,1200,,TS,19.0N,114.5W,45,-999
19680824,1800,,TS,19.9N,115.7W,45,-999
19680825,0000,,TS,20.9N,116.9W,45,-999
19680825,0600,,TS,22.0N,118.3W,45,-999
19680825,1200,,TD,23.0N,119.8W,25,-999
19680825,1800,,TD,23.8N,121.2W,25,-999
19680826,0000,,TD,24.4N,122.6W,25,-999
