date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19680909,0000,,TD,12.1N,99.0W,25,-999
19680909,0600,,TD,12.5N,100.5W,25,-999
19680909,1200,,TD,13.0N,101.6W,25,-999
19680909,1800,,TD,13.5N,102.5W,25,-999
19680910,0000,,TD,14.0N,103.4W,25,-999
19680910,0600,,TD,14.5N,104.3W,25,-999
19680910,1200,,TD,15.1N,105.2W,25,-999
19680910,1800,,TD,15.8N,106.1W,25,-999
19680911,0000,,TD,16.7N,106.6W,25,-999
19680911,0600,,TD,17.7N,106.9W,25,-999
19680911,1200,,TS,18.6N,107.1W,45,-999
19680911,1800,,HU,19.3N,107.4W,75,-999
19680912,0000,,HU,20.0N,107.6W,75,-999
19680912,0600,,HU,20.8N,107.7W,75,-999
19680912,1200,,HU,21.7N,107.6W,75,-999
19680912,1800,,HU,22.5N,107.4W,75,-999
19680913,0000,,HU,23.4N,107.0W,75,-999
19680913,0600,,TS,25.3N,105.7W,45,-999
19680913,1200,,TD,28.5N,103.5W,25,-999
