date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19681020,1200,,TS,13.9N,103.9W,45,-999
19681020,1800,,TS,14.3N,104.8W,45,-999
19681021,0000,,TS,14.4N,105.8W,45,-999
19681021,0600,,TS,14.0N,107.0W,45,-999
19681021,1200,,TS,13.6N,108.1W,45,-999
19681021,1800,,TS,13.4N,109.5W,45,-999
19681022,0000,,TS,13.3N,111.0W,45,-999
19681022,0600,,TS,13.4N,112.0W,45,-999
19681022,1200,,TS,13.5N,112.9W,45,-999
19681022,1800,,TS,13.6N,114.0W,45,-999
19681023,0000,,TS,13.8N,115.0W,45,-999
19681023,0600,,TS,14.0N,116.0W,45,-999
19681023,1200,,TS,14.2N,117.0W,45,-999
19681023,1800,,TS,14.5N,118.0W,45,-999
19681024,0000,,TS,14.8N,118.9W,45,-999
19681024,0600,,TS,15.0N,119.9W,45,-999
19681024,1200,,TS,15.3N,120.9W,45,-999
19681024,1800,,TS,15.7N,121.8W,45,-999
19681025,0000,,TS,16.1N,122.6W,45,-999
19681025,0600,,TS,16.4N,123.5W,45,-999
19681025,1200,,TS,16.7N,124.4W,45,-999
19681025,1800,,TS,17.3N,125.5W,45,-999
19681026,0000,,TS,17.8N,126.7W,45,-999
19681026,0600,,TS,18.0N,127.6W,45,-999
19681026,1200,,TS,18.1N,128.5W,45,-999
19681026,1800,,TS,18.5N,129.8W,45,-999
19681027,0000,,TS,19.0N,131.1W,45,-999
19681027,0600,,TS,19.5N,132.1W,45,-999
19681027,1200,,TS,20.0N,133.0W,45,-999
19681027,1800,,TD,20.5N,134.0W,25,-999
19681028,0000,,TD,21.0N,135.0W,25,-999
19681028,0600,,TD,21.5N,135.9W,25,-999
19681028,1200,,TD,21.9N,136.8W,25,-999
