date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19690930,0000,,TS,15.9N,112.0W,45,-999
19690930,0600,,TS,16.0N,112.7W,45,-999
19690930,1200,,TS,16.1N,113.3W,45,-999
19690930,1800,,TS,16.2N,113.8W,45,-999
19691001,0000,,TS,16.3N,114.3W,45,-999
19691001,0600,,TS,16.5N,114.8W,45,-999
19691001,1200,,TS,16.8N,115.2W,45,-999
19691001,1800,,TS,17.0N,115.5W,45,-999
19691002,0000,,TS,17.2N,115.6W,45,-999
19691002,0600,,TS,17.4N,115.4W,45,-999
19691002,1200,,TS,17.5N,115.1W,45,-999
19691002,1800,,TS,17.6N,114.9W,45,-999
19691003,0000,,TD,17.6N,114.6W,25,-999
19691003,0600,,TD,17.6N,114.3W,25,-999
19691003,1200,,TD,17.6N,114.1W,25,-999
