date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19700716,1200,,TD,15.9N,103.3W,25,-999
19700716,1800,,TD,16.2N,104.1W,30,-999
19700717,0000,,TD,16.7N,104.7W,30,-999
19700717,0600,,TD,17.2N,105.1W,30,-999
19700717,1200,,TD,17.7N,105.5W,30,-999
19700717,1800,,TS,18.3N,106.0W,35,-999
19700718,0000,,TS,18.9N,106.4W,35,-999
19700718,0600,,TS,19.7N,106.9W,35,-999
19700718,1200,,TS,20.4N,107.4W,40,-999
19700718,1800,,TS,20.9N,108.3W,50,-999
19700719,0000,,TS,21.4N,109.2W,45,-999
19700719,0600,,TS,21.8N,109.5W,40,-999
19700719,1200,,TS,22.0N,109.6W,35,-999
19700719,1800,,TD,22.2N,109.3W,30,-999
19700720,0000,,TD,21.6N,109.4W,30,-999
