date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19710808,1200,,TD,14.5N,97.4W,25,-999
19710808,1800,,TS,14.4N,98.2W,45,-999
19710809,0000,,TS,14.5N,99.2W,45,-999
19710809,0600,,TS,14.6N,100.5W,45,-999
19710809,1200,,TS,15.0N,101.7W,45,-999
19710809,1800,,TS,15.5N,102.6W,45,-999
19710810,0000,,TS,16.2N,103.5W,45,-999
19710810,0600,,TS,17.0N,104.5W,45,-999
19710810,1200,,TS,17.9N,105.5W,45,-999
19710810,1800,,TS,18.8N,106.5W,45,-999
19710811,0000,,TS,19.9N,107.2W,55,-999
19710811,0600,,TS,21.0N,107.7W,55,-999
19710811,1200,,TS,22.2N,108.1W,50,-999
19710811,1800,,TS,22.9N,108.5W,45,-999
19710812,0000,,TS,23.7N,108.8W,45,-999
19710812,0600,,TS,24.4N,109.0W,45,-999
19710812,1200,,TS,25.1N,109.0W,45,-999
19710812,1800,,TD,25.8N,108.8W,25,-999
19710813,0000,,TD,26.4N,108.5W,25,-999
