date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19711125,1200,,TD,9.5N,100.0W,25,-999
19711125,1800,,TD,9.6N,100.8W,25,1009
19711126,0000,,TD,9.6N,101.6W,25,-999
19711126,0600,,TD,9.6N,102.3W,25,-999
19711126,1200,,TD,9.7N,103.0W,25,-999
19711126,1800,,TD,9.7N,104.0W,25,-999
19711127,0000,,TS,9.8N,105.1W,35,-999
19711127,0600,,TS,9.8N,106.2W,35,-999
19711127,1200,,TS,9.8N,107.3W,35,-999
19711127,1800,,TD,9.9N,108.3W,30,-999
19711128,0000,,TD,10.1N,109.2W,25,-999
19711128,0600,,TD,10.3N,109.9W,25,-999
19711128,1200,,TD,10.5N,110.5W,25,-999
19711128,1800,,TD,10.7N,110.9W,25,-999
19711129,0000,,TD,11.0N,111.0W,25,-999
