date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19720601,0000,,TS,12.3N,108.0W,35,-999
19720601,0600,,TS,12.3N,107.8W,35,-999
19720601,1200,,TS,12.3N,107.6W,35,-999
19720601,1800,,TS,12.3N,107.5W,40,-999
19720602,0000,,TS,12.4N,107.4W,40,-999
19720602,0600,,TS,12.5N,107.3W,40,-999
19720602,1200,,TS,12.6N,107.3W,40,-999
19720602,1800,,TS,12.7N,107.3W,45,997
19720603,0000,,TS,12.9N,107.4W,50,-999
19720603,0600,,TS,13.0N,107.4W,50,-999
19720603,1200,,TS,13.2N,107.5W,50,-999
19720603,1800,,TS,13.3N,107.5W,50,-999
19720604,0000,,TS,13.4N,107.5W,60,-999
19720604,0600,,TS,13.5N,107.5W,60,-999
19720604,1200,,TS,13.6N,107.6W,60,-999
19720604,1800,,HU,13.7N,107.6W,75,-999
19720605,0000,,HU,13.8N,107.6W,70,-999
19720605,0600,,HU,13.9N,107.6W,70,-999
19720605,1200,,HU,14.0N,107.5W,70,-999
19720605,1800,,TS,14.3N,107.5W,45,1002
19720606,0000,,TS,14.7N,107.5W,45,-999
19720606,0600,,TS,15.3N,107.2W,40,-999
19720606,1200,,TS,15.8N,106.7W,40,-999
19720606,1800,,TS,16.2N,106.2W,55,993
19720607,0000,,TS,16.7N,105.7W,55,-999
19720607,0600,,TS,17.3N,105.5W,55,-999
19720607,1200,,TS,17.9N,105.2W,55,-999
19720607,1800,,TS,18.4N,104.5W,35,1008
19720608,0000,,TD,19.0N,103.6W,25,-999
19720608,0600,,TD,19.6N,102.7W,25,-999
19720608,1200,,TD,20.2N,101.7W,25,-999
