date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19720727,1200,,TD,18.8N,109.0W,25,-999
19720727,1800,,TD,19.2N,109.5W,30,-999
19720728,0000,,TS,19.6N,110.1W,35,-999
19720728,0600,,TS,20.2N,111.2W,35,-999
19720728,1200,,TS,20.7N,112.3W,35,-999
19720728,1800,,TS,21.3N,113.6W,45,996
19720729,0000,,TS,21.8N,115.0W,40,-999
19720729,0600,,TS,22.1N,116.1W,40,-999
19720729,1200,,TS,22.3N,117.2W,40,-999
19720729,1800,,TS,22.4N,117.8W,35,996
19720730,0000,,TD,22.4N,118.3W,25,-999
19720730,0600,,TD,22.3N,118.7W,25,-999
19720730,1200,,TD,22.2N,119.1W,25,-999
19720730,1800,,TD,22.1N,119.8W,25,-999
