date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19720811,0000,,TS,10.4N,115.6W,40,-999
19720811,0600,,TS,10.8N,116.6W,40,-999
19720811,1200,,TS,11.1N,117.7W,40,-999
19720811,1800,,TS,11.4N,119.0W,50,-999
19720812,0000,,TS,11.8N,120.4W,60,-999
19720812,0600,,TS,12.2N,121.8W,60,-999
19720812,1200,,HU,12.6N,123.2W,65,-999
19720812,1800,,HU,13.1N,124.2W,75,-999
19720813,0000,,HU,13.6N,125.1W,75,-999
19720813,0600,,HU,13.8N,125.6W,75,-999
19720813,1200,,HU,14.0N,126.2W,80,-999
19720813,1800,,HU,15.0N,127.5W,80,-999
19720814,0000,,HU,16.1N,128.8W,95,-999
19720814,0600,,HU,16.7N,129.5W,95,-999
19720814,1200,,HU,17.2N,130.2W,95,-999
19720814,1800,,HU,17.7N,131.0W,90,-999
19720815,0000,,HU,18.1N,131.9W,80,-999
19720815,0600,,HU,18.5N,132.8W,75,-999
19720815,1200,,HU,18.7N,133.8W,70,-999
19720815,1800,,HU,18.8N,135.4W,70,-999
19720816,0000,,HU,18.7N,137.1W,70,-999
19720816,0600,,HU,18.6N,138.4W,70,-999
19720816,1200,,HU,18.5N,139.8W,70,-999
19720816,1800,,TS,18.4N,141.5W,60,-999
19720817,0000,,TS,18.4N,143.3W,60,-999
19720817,0600,,TS,18.5N,145.2W,60,-999
19720817,1200,,TS,18.5N,147.1W,60,-999
19720817,1800,,TS,18.4N,148.1W,60,-999
19720818,0000,,TS,18.3N,149.0W,60,-999
19720818,0600,,TS,18.1N,150.5W,60,-999
19720818,1200,,TS,18.2N,151.9W,60,-999
19720818,1800,,TS,18.7N,152.5W,60,-999
19720819,0000,,TS,19.4N,153.0W,60,-999
19720819,0600,,TS,19.8N,153.6W,60,-999
19720819,1200,,TS,20.2N,154.2W,60,-999
19720819,1800,,TS,20.5N,154.6W,45,-999
19720820,0000,,TS,20.7N,154.8W,45,-999
