date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19720815,0000,,TD,9.6N,110.4W,25,-999
19720815,0600,,TD,10.2N,110.6W,30,-999
19720815,1200,,TD,10.6N,111.2W,30,-999
19720815,1800,,TD,11.2N,112.7W,30,-999
19720816,0000,,TS,11.9N,114.2W,40,-999
19720816,0600,,TS,12.2N,115.6W,40,-999
19720816,1200,,TS,12.6N,116.9W,40,-999
19720816,1800,,TS,14.0N,118.0W,40,-999
19720817,0000,,TS,15.2N,118.8W,40,-999
19720817,0600,,TS,15.5N,119.4W,40,-999
19720817,1200,,TS,15.7N,120.1W,40,-999
19720817,1800,,TS,16.0N,120.8W,45,-999
19720818,0000,,TS,16.4N,121.4W,45,-999
19720818,0600,,TS,16.5N,121.5W,45,-999
19720818,1200,,TS,16.6N,121.6W,55,-999
19720818,1800,,TS,16.7N,121.7W,55,-999
19720819,0000,,TS,16.8N,121.9W,60,-999
19720819,0600,,TS,17.1N,122.2W,60,-999
19720819,1200,,TS,17.7N,122.6W,60,-999
19720819,1800,,HU,18.3N,123.0W,65,-999
19720820,0000,,HU,18.9N,123.3W,70,-999
19720820,0600,,HU,19.5N,123.7W,70,-999
19720820,1200,,HU,20.0N,124.1W,65,-999
19720820,1800,,TS,21.0N,125.2W,60,-999
19720821,0000,,TS,21.9N,126.3W,60,-999
19720821,0600,,TS,22.6N,127.2W,60,-999
19720821,1200,,TS,23.4N,128.2W,60,-999
19720821,1800,,TS,24.3N,129.5W,45,-999
19720822,0000,,TS,25.1N,130.8W,40,-999
19720822,0600,,TS,25.9N,132.0W,40,-999
19720822,1200,,TS,26.7N,133.2W,35,-999
