date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19720930,0000,,TD,12.5N,104.9W,30,-999
19720930,0600,,TD,12.4N,105.7W,30,-999
19720930,1200,,TS,12.6N,106.7W,45,-999
19720930,1800,,TS,13.1N,108.2W,50,-999
19721001,0000,,TS,13.6N,109.6W,55,-999
19721001,0600,,TS,13.9N,110.5W,55,-999
19721001,1200,,TS,14.2N,111.3W,55,-999
19721001,1800,,HU,14.5N,112.2W,65,980
19721002,0000,,HU,14.9N,113.1W,75,-999
19721002,0600,,HU,15.3N,113.8W,80,-999
19721002,1200,,HU,15.8N,114.6W,85,-999
19721002,1800,,HU,16.7N,115.3W,85,-999
19721003,0000,,HU,17.6N,116.1W,85,-999
19721003,0600,,HU,18.0N,116.5W,80,-999
19721003,1200,,HU,18.4N,116.6W,80,-999
19721003,1800,,HU,19.0N,116.6W,80,971
19721004,0000,,HU,19.7N,116.6W,80,-999
19721004,0600,,HU,20.2N,116.6W,80,-999
19721004,1200,,HU,20.7N,116.6W,70,-999
19721004,1800,,HU,21.6N,116.6W,65,-999
19721005,0000,,HU,22.8N,116.5W,65,-999
19721005,0600,,TS,24.1N,116.3W,60,-999
19721005,1200,,TS,25.4N,116.1W,55,-999
19721005,1800,,TS,26.5N,115.9W,55,-999
19721006,0000,,TS,27.4N,115.6W,55,982
19721006,0600,,TS,28.1N,115.3W,55,-999
19721006,1200,,TS,28.9N,114.9W,40,-999
19721006,1800,,ET,29.9N,114.2W,40,1004
19721007,0000,,ET,31.0N,113.0W,25,-999
