date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19730602,0000,,TD,11.5N,94.1W,30,-999
19730602,0600,,TD,11.6N,94.2W,30,-999
19730602,1200,,TD,11.7N,94.4W,30,-999
19730602,1800,,TS,11.8N,94.6W,35,-999
19730603,0000,,TS,12.0N,94.9W,50,998
19730603,0600,,TS,12.1N,95.1W,60,-999
19730603,1200,,TS,12.3N,95.4W,60,-999
19730603,1800,,TS,12.4N,95.9W,60,993
19730604,0000,,HU,12.5N,96.7W,70,994
19730604,0600,,HU,12.5N,97.3W,70,-999
19730604,1200,,HU,12.5N,98.0W,75,-999
19730604,1800,,HU,12.6N,98.7W,75,982
19730605,0000,,HU,12.6N,99.4W,75,-999
19730605,0600,,HU,12.6N,100.2W,75,-999
19730605,1200,,HU,12.6N,101.1W,75,-999
19730605,1800,,HU,12.6N,102.2W,95,946
19730606,0000,,HU,12.6N,103.4W,100,-999
19730606,0600,,HU,12.4N,104.7W,100,-999
19730606,1200,,HU,12.2N,106.0W,100,-999
19730606,1800,,HU,12.1N,107.4W,130,915
19730607,0000,,HU,12.1N,108.8W,140,-999
19730607,0600,,HU,12.2N,110.3W,140,-999
19730607,1200,,HU,12.4N,111.8W,140,-999
19730607,1800,,HU,12.6N,113.3W,140,928
19730608,0000,,HU,12.8N,114.9W,130,-999
19730608,0600,,HU,13.1N,116.6W,130,-999
19730608,1200,,HU,13.4N,118.2W,130,-999
19730608,1800,,HU,13.7N,119.8W,100,946
19730609,0000,,HU,14.1N,121.5W,100,-999
19730609,0600,,HU,14.6N,123.4W,90,-999
19730609,1200,,HU,15.1N,124.9W,80,-999
19730609,1800,,HU,15.3N,125.7W,65,972
19730610,0000,,HU,15.3N,126.6W,65,-999
19730610,0600,,TS,15.1N,127.4W,60,-999
19730610,1200,,TS,14.9N,128.3W,50,-999
19730610,1800,,TS,14.9N,129.1W,45,997
19730611,0000,,TS,15.0N,129.9W,40,-999
19730611,0600,,TS,15.0N,130.1W,35,-999
19730611,1200,,TD,15.1N,130.3W,30,-999
19730611,1800,,TD,15.5N,130.5W,30,-999
19730612,0000,,TD,16.1N,130.7W,30,-999
19730612,0600,,TD,16.6N,130.9W,30,-999
19730612,1200,,TD,17.0N,131.0W,30,-999
