date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19730626,0000,,TD,10.6N,95.8W,30,-999
19730626,0600,,TD,11.1N,96.5W,30,-999
19730626,1200,,TD,11.7N,97.1W,30,-999
19730626,1800,,TD,12.1N,97.4W,30,-999
19730627,0000,,TD,12.5N,97.7W,30,-999
19730627,0600,,TD,12.7N,97.8W,30,-999
19730627,1200,,TD,12.9N,98.0W,30,-999
19730627,1800,,TS,13.3N,98.3W,50,-999
19730628,0000,,TS,13.7N,98.5W,50,-999
19730628,0600,,TS,14.3N,98.9W,55,-999
19730628,1200,,TS,15.0N,99.3W,55,-999
19730628,1800,,TS,16.0N,99.8W,55,999
19730629,0000,,TD,17.0N,100.1W,25,-999
19730629,0600,,ET,17.0N,100.0W,25,-999
19730629,1200,,ET,17.0N,99.8W,25,-999
19730629,1800,,ET,17.6N,99.9W,25,-999
19730630,0000,,ET,18.2N,100.1W,25,-999
