date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19730718,0000,,TS,10.6N,107.0W,40,-999
19730718,0600,,TS,10.8N,109.4W,45,-999
19730718,1200,,TS,11.0N,110.3W,55,-999
19730718,1800,,TS,11.3N,111.2W,60,-999
19730719,0000,,HU,11.5N,112.1W,65,-999
19730719,0600,,HU,11.8N,113.0W,70,-999
19730719,1200,,HU,12.2N,114.6W,100,-999
19730719,1800,,HU,12.5N,116.1W,100,973
19730720,0000,,HU,12.9N,117.5W,100,-999
19730720,0600,,HU,13.4N,118.7W,100,-999
19730720,1200,,HU,13.8N,120.0W,100,-999
19730720,1800,,HU,14.0N,121.2W,120,972
19730721,0000,,HU,14.2N,122.5W,110,-999
19730721,0600,,HU,14.3N,123.6W,90,-999
19730721,1200,,HU,14.4N,124.5W,85,-999
19730721,1800,,HU,14.4N,125.3W,80,968
19730722,0000,,HU,14.4N,126.2W,80,-999
19730722,0600,,HU,14.5N,127.1W,80,-999
19730722,1200,,HU,14.6N,128.0W,75,-999
19730722,1800,,HU,14.7N,129.0W,65,969
19730723,0000,,HU,14.8N,130.0W,65,-999
19730723,0600,,HU,14.9N,130.9W,65,-999
19730723,1200,,HU,15.0N,131.7W,65,-999
19730723,1800,,HU,15.1N,132.6W,65,-999
19730724,0000,,HU,15.2N,133.6W,65,-999
19730724,0600,,HU,15.3N,134.6W,65,-999
19730724,1200,,HU,15.4N,135.7W,65,-999
19730724,1800,,HU,15.7N,136.9W,65,-999
19730725,0000,,HU,16.0N,138.0W,70,-999
19730725,0600,,HU,16.1N,138.7W,70,-999
19730725,1200,,TS,16.2N,139.5W,60,-999
19730725,1800,,TS,16.3N,140.4W,55,-999
19730726,0000,,TS,16.3N,141.3W,50,-999
19730726,0600,,TS,16.4N,142.5W,50,-999
19730726,1200,,TS,16.5N,143.7W,50,-999
19730726,1800,,TS,16.5N,144.8W,45,-999
19730727,0000,,TS,16.2N,145.7W,40,-999
19730727,0600,,TS,15.4N,146.3W,50,-999
19730727,1200,,TS,14.5N,146.8W,55,-999
19730727,1800,,TS,13.8N,147.3W,60,-999
19730728,0000,,HU,13.3N,147.8W,75,-999
19730728,0600,,HU,13.0N,148.4W,75,-999
19730728,1200,,HU,12.8N,149.0W,80,-999
19730728,1800,,HU,12.7N,149.7W,85,-999
19730729,0000,,HU,12.7N,150.4W,90,-999
19730729,0600,,HU,12.9N,151.2W,90,-999
19730729,1200,,HU,13.2N,152.0W,100,-999
19730729,1800,,HU,13.4N,152.8W,90,-999
19730730,0000,,HU,13.6N,153.6W,90,-999
19730730,0600,,HU,13.9N,154.7W,85,-999
19730730,1200,,HU,14.2N,155.8W,85,-999
19730730,1800,,HU,14.6N,157.0W,80,-999
19730731,0000,,HU,15.0N,158.2W,80,-999
19730731,0600,,HU,15.5N,159.3W,75,-999
19730731,1200,,HU,16.0N,160.5W,75,-999
19730731,1800,,HU,16.4N,161.8W,70,-999
19730801,0000,,HU,16.9N,163.3W,65,-999
19730801,0600,,HU,17.4N,164.9W,65,-999
19730801,1200,,TS,18.0N,166.5W,60,-999
19730801,1800,,TS,18.6N,167.9W,55,-999
19730802,0000,,TS,19.3N,169.1W,50,-999
19730802,0600,,TS,20.0N,170.0W,45,-999
19730802,1200,,TS,20.6N,171.0W,35,-999
19730802,1800,,TS,20.4N,172.2W,35,-999
19730803,0000,,TD,19.4N,173.3W,30,-999
