date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19730721,1200,,TD,13.3N,97.0W,30,-999
19730721,1800,,TS,14.0N,98.5W,45,-999
19730722,0000,,TS,14.6N,100.0W,55,-999
19730722,0600,,HU,15.0N,101.4W,65,-999
19730722,1200,,HU,15.3N,102.7W,65,-999
19730722,1800,,HU,15.8N,103.9W,100,982
19730723,0000,,HU,16.2N,105.0W,110,-999
19730723,0600,,HU,16.5N,105.9W,110,-999
19730723,1200,,HU,16.7N,106.8W,120,-999
19730723,1800,,HU,17.0N,107.9W,110,972
19730724,0000,,HU,17.2N,109.0W,100,-999
19730724,0600,,HU,17.3N,109.8W,100,-999
19730724,1200,,HU,17.3N,110.6W,100,-999
19730724,1800,,HU,17.4N,111.4W,65,-999
19730725,0000,,HU,17.5N,112.2W,65,989
19730725,0600,,HU,17.6N,113.2W,65,-999
19730725,1200,,HU,17.7N,114.3W,65,-999
19730725,1800,,TS,17.8N,115.7W,55,990
19730726,0000,,TS,17.9N,117.2W,40,-999
19730726,0600,,TS,18.0N,118.2W,40,-999
19730726,1200,,TS,18.4N,119.0W,40,-999
19730726,1800,,TS,19.1N,119.7W,35,-999
19730727,0000,,TS,20.0N,120.4W,35,-999
19730727,0600,,TS,21.3N,121.3W,35,-999
19730727,1200,,TS,22.0N,122.5W,35,-999
19730727,1800,,TS,22.0N,122.9W,35,-999
19730728,0000,,TS,22.0N,123.0W,35,-999
19730728,0600,,TD,22.0N,123.0W,30,-999
19730728,1200,,TD,22.0N,123.0W,25,-999
