date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19730923,0000,,TD,13.2N,113.6W,30,-999
19730923,0600,,TD,13.2N,113.5W,30,-999
19730923,1200,,TD,13.3N,113.4W,30,-999
19730923,1800,,TD,13.4N,113.2W,30,-999
19730924,0000,,TD,13.5N,113.1W,30,-999
19730924,0600,,TD,13.7N,112.8W,30,-999
19730924,1200,,TD,14.0N,112.5W,30,-999
19730924,1800,,TS,14.4N,111.8W,35,-999
19730925,0000,,TS,14.8N,111.0W,35,-999
19730925,0600,,TS,15.4N,110.0W,35,-999
19730925,1200,,TS,16.0N,109.1W,35,-999
19730925,1800,,TD,16.6N,108.3W,30,-999
19730926,0000,,TD,17.2N,107.8W,30,-999
19730926,0600,,TD,18.6N,107.5W,30,-999
19730926,1200,,TD,20.0N,107.3W,30,-999
19730926,1800,,TD,21.6N,106.9W,25,-999
19730927,0000,,TD,23.1N,106.5W,25,-999
19730927,0600,,ET,24.6N,105.9W,25,-999
19730927,1200,,ET,26.0N,105.0W,25,-999
