date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19740822,0000,,TD,11.7N,147.7W,25,-999
19740822,0600,,TD,12.3N,148.5W,25,-999
19740822,1200,,TD,12.5N,149.3W,25,-999
19740822,1800,,TD,12.9N,150.1W,25,-999
19740823,0000,,TD,13.1N,150.7W,30,-999
19740823,0600,,TD,13.3N,151.9W,30,-999
19740823,1200,,TS,13.5N,153.0W,40,-999
19740823,1800,,TS,13.6N,154.2W,40,-999
19740824,0000,,TS,13.8N,155.4W,40,-999
19740824,0600,,TD,14.2N,156.7W,30,-999
19740824,1200,,TD,14.3N,158.0W,30,-999
19740824,1800,,TD,14.5N,159.3W,30,-999
19740825,0000,,TD,14.6N,160.5W,30,-999
19740825,0600,,TD,14.6N,161.8W,30,-999
19740825,1200,,TD,14.5N,163.0W,25,-999
19740825,1800,,TD,14.4N,164.4W,25,-999
19740826,0000,,TD,14.3N,165.6W,25,-999
19740826,0600,,TD,14.3N,166.8W,25,-999
