date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19740717,0000,,TD,14.3N,115.7W,30,-999
19740717,0600,,TD,14.9N,114.8W,30,-999
19740717,1200,,TD,15.6N,114.0W,30,-999
19740717,1800,,TD,16.3N,113.3W,30,-999
19740718,0000,,TD,17.0N,112.7W,30,-999
19740718,0600,,TD,17.8N,112.0W,30,-999
19740718,1200,,TD,18.6N,111.4W,30,-999
19740718,1800,,TS,20.7N,111.2W,50,-999
19740719,0000,,HU,22.3N,112.6W,85,-999
19740719,0600,,HU,22.8N,114.6W,70,-999
19740719,1200,,HU,23.0N,116.7W,70,-999
19740719,1800,,TS,23.0N,118.0W,40,-999
19740720,0000,,TS,23.0N,119.0W,40,-999
19740720,0600,,TS,23.9N,119.5W,35,-999
19740720,1200,,TD,25.0N,120.0W,30,-999
19740720,1800,,TD,25.2N,121.0W,30,-999
19740721,0000,,TD,25.0N,122.0W,25,-999
