date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19740820,0000,,TD,13.0N,124.4W,25,-999
19740820,0600,,TD,13.6N,126.0W,25,-999
19740820,1200,,TD,14.0N,127.3W,25,-999
19740820,1800,,TS,14.2N,128.1W,35,-999
19740821,0000,,TS,14.2N,129.0W,35,-999
19740821,0600,,TS,14.0N,130.1W,35,-999
19740821,1200,,TS,13.7N,131.2W,35,-999
19740821,1800,,TD,13.3N,132.2W,30,-999
19740822,0000,,TD,13.0N,133.0W,30,-999
19740822,0600,,TD,12.8N,133.6W,30,-999
19740822,1200,,TD,12.7N,134.2W,30,-999
19740822,1800,,TD,12.5N,134.9W,30,-999
19740823,0000,,TD,12.4N,135.6W,30,-999
19740823,0600,,TD,12.3N,136.6W,30,-999
19740823,1200,,TD,12.4N,137.6W,30,-999
19740823,1800,,HU,12.5N,138.4W,65,-999
19740824,0000,,HU,12.7N,139.3W,75,-999
19740824,0600,,HU,12.9N,140.1W,100,-999
19740824,1200,,HU,13.2N,141.0W,90,-999
19740824,1800,,HU,13.4N,141.6W,90,-999
19740825,0000,,HU,13.7N,142.0W,90,-999
19740825,0600,,HU,14.0N,142.4W,90,-999
19740825,1200,,HU,14.3N,142.9W,90,-999
19740825,1800,,HU,14.7N,143.3W,90,-999
19740826,0000,,HU,15.3N,143.8W,90,-999
19740826,0600,,HU,15.9N,144.0W,90,-999
19740826,1200,,HU,16.6N,144.0W,90,-999
19740826,1800,,HU,17.5N,143.7W,90,-999
19740827,0000,,HU,18.3N,143.4W,70,-999
19740827,0600,,HU,18.7N,143.4W,70,-999
19740827,1200,,HU,19.0N,143.5W,70,-999
19740827,1800,,TS,19.3N,143.5W,50,-999
19740828,0000,,TD,19.5N,143.6W,30,-999
19740828,0600,,TD,19.4N,144.4W,30,-999
19740828,1200,,TD,18.8N,145.1W,25,-999
19740828,1800,,TD,18.3N,145.5W,25,-999
19740829,0000,,TD,17.9N,146.1W,25,-999
19740829,0600,,TD,17.4N,146.8W,25,-999
19740829,1200,,TD,17.1N,147.7W,25,-999
19740829,1800,,TD,17.0N,148.6W,25,-999
19740830,0000,,TD,17.0N,149.5W,25,-999
19740830,0600,,TD,17.8N,150.7W,25,-999
