date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19740822,0000,,TD,14.0N,109.0W,25,-999
19740822,0600,,TD,14.3N,109.3W,25,-999
19740822,1200,,TD,14.7N,109.7W,25,-999
19740822,1800,,TS,15.2N,110.1W,35,-999
19740823,0000,,TS,15.7N,110.6W,35,-999
19740823,0600,,TS,16.2N,111.1W,35,-999
19740823,1200,,TS,16.6N,111.6W,35,-999
19740823,1800,,TS,17.0N,112.4W,60,-999
19740824,0000,,HU,17.3N,113.3W,70,-999
19740824,0600,,HU,17.6N,114.4W,70,-999
19740824,1200,,HU,17.7N,115.2W,70,-999
19740824,1800,,HU,17.8N,115.6W,75,-999
19740825,0000,,HU,17.8N,116.0W,70,-999
19740825,0600,,HU,17.9N,116.4W,65,-999
19740825,1200,,TS,18.0N,116.8W,60,-999
19740825,1800,,TS,18.3N,117.7W,60,-999
19740826,0000,,TS,18.5N,119.0W,60,-999
19740826,0600,,TS,18.8N,120.2W,60,-999
19740826,1200,,TS,19.0N,121.5W,60,-999
19740826,1800,,HU,19.2N,122.6W,70,-999
19740827,0000,,HU,19.3N,123.6W,70,-999
19740827,0600,,TS,19.4N,125.6W,55,-999
19740827,1200,,TS,19.5N,128.5W,50,-999
