date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19740921,0000,,TD,15.8N,97.5W,30,-999
19740921,0600,,TD,16.1N,98.0W,30,-999
19740921,1200,,TS,16.2N,98.8W,40,-999
19740921,1800,,TS,16.5N,100.7W,40,-999
19740922,0000,,TS,16.9N,102.6W,40,-999
19740922,0600,,TS,17.4N,103.7W,40,-999
19740922,1200,,TS,18.0N,104.6W,40,-999
19740922,1800,,TS,18.7N,105.2W,50,-999
19740923,0000,,TS,19.4N,105.8W,50,-999
19740923,0600,,TS,19.9N,106.3W,50,-999
19740923,1200,,HU,20.6N,106.7W,65,-999
19740923,1800,,HU,22.2N,107.1W,75,-999
19740924,0000,,HU,24.0N,107.0W,90,-999
19740924,0600,,ET,25.5N,106.2W,25,-999
19740924,1200,,ET,27.0N,104.5W,25,-999
