date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19741006,1200,,TD,10.4N,102.4W,30,-999
19741006,1800,,TD,10.4N,103.4W,30,-999
19741007,0000,,TS,10.6N,104.4W,35,-999
19741007,0600,,TS,11.1N,105.6W,40,-999
19741007,1200,,TS,11.6N,106.7W,50,-999
19741007,1800,,HU,12.5N,108.6W,65,-999
19741008,0000,,HU,13.4N,110.5W,70,-999
19741008,0600,,HU,14.2N,112.2W,80,-999
19741008,1200,,HU,15.0N,114.0W,80,-999
19741008,1800,,HU,15.5N,115.3W,80,-999
19741009,0000,,HU,15.9N,116.5W,80,-999
19741009,0600,,HU,16.5N,117.7W,80,-999
19741009,1200,,HU,17.1N,118.9W,80,-999
19741009,1800,,HU,17.7N,119.4W,80,-999
19741010,0000,,HU,18.0N,119.6W,80,964
19741010,0600,,HU,17.8N,120.5W,80,-999
19741010,1200,,HU,17.5N,121.2W,75,-999
19741010,1800,,HU,17.4N,121.4W,75,-999
19741011,0000,,HU,17.2N,121.6W,75,-999
19741011,0600,,HU,16.9N,122.0W,65,-999
19741011,1200,,TS,16.7N,122.4W,55,-999
19741011,1800,,TS,16.5N,122.7W,40,-999
19741012,0000,,TS,16.3N,123.0W,40,-999
19741012,0600,,TD,16.0N,124.0W,30,-999
19741012,1200,,TD,16.0N,125.0W,30,-999
19741012,1800,,TD,15.9N,126.4W,30,-999
19741013,0000,,TD,16.0N,127.7W,30,-999
19741013,0600,,TD,16.4N,128.4W,25,-999
19741013,1200,,TD,17.0N,129.0W,25,-999
19741013,1800,,TD,17.8N,129.5W,25,-999
19741014,0000,,TD,18.5N,130.0W,25,-999
19741014,0600,,TD,17.9N,131.2W,25,-999
19741014,1200,,TD,17.0N,132.5W,25,-999
19741014,1800,,TD,16.6N,133.2W,25,-999
19741015,0000,,TD,16.5N,134.0W,25,-999
19741015,0600,,TD,16.6N,135.0W,25,-999
19741015,1200,,TD,16.8N,136.0W,25,-999
19741015,1800,,TD,16.8N,137.4W,25,-999
19741016,0000,,TD,16.8N,138.7W,25,-999
19741016,0600,,TD,16.8N,139.7W,25,-999
19741016,1200,,TD,16.8N,140.8W,25,-999
19741016,1800,,TD,16.9N,141.9W,25,-999
19741017,0000,,TD,17.0N,143.0W,25,-999
