date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19741021,0000,,TS,15.3N,132.3W,35,-999
19741021,0600,,TS,15.2N,133.3W,50,-999
19741021,1200,,TS,15.0N,133.9W,55,-999
19741021,1800,,TS,14.8N,134.0W,55,-999
19741022,0000,,TS,14.5N,134.0W,55,-999
19741022,0600,,TS,14.4N,134.2W,50,-999
19741022,1200,,TS,14.4N,134.5W,50,-999
19741022,1800,,TS,14.0N,135.2W,40,-999
19741023,0000,,TS,13.5N,136.0W,35,-999
19741023,0600,,TS,13.2N,136.5W,35,-999
19741023,1200,,TS,13.0N,137.0W,35,-999
19741023,1800,,TD,12.9N,138.0W,25,-999
19741024,0000,,TD,13.0N,139.0W,25,-999
